P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
-134.58572,-142.31026,65.6264,64.0959,-43.921543,-34.780396,-59.38398,-56.797478,-20.21747,-18.396969,1.9630117,2.1087217,-1.4285196,-1.3694007,0.3977097,0.55414563,0.60240996,0.4193547,-2.1929276,-2.2578437,-0.9303648,-0.6066678,-0.0161316,-0.004259385,0.2597696,0.24356145,-0.030895935,0.17529798,1.6855072,1.6375207,0.4149377,0.38174063,0.16213562,0.25178462,0.57561123,0.71094483,0.48295215,0.55570465,0.116768755,0.30386597
-134.52518,-142.3214,65.460144,64.02821,-43.96677,-34.875824,-59.37455,-56.798134,-20.304325,-18.444435,1.9460773,2.0465894,-1.4172612,-1.3810275,0.24867216,0.4021456,0.83008903,0.64615154,-2.2160668,-2.3017852,-1.2853962,-0.9452794,-0.09842428,-0.069915265,0.08261835,0.13685164,-0.23098007,-0.011576585,1.4845208,1.5124195,0.10913477,0.24732882,-0.034211207,0.09937128,0.33746645,0.5365251,0.34128448,0.45442384,-0.13904293,0.09060561
-134.45654,-142.3086,65.295845,63.984703,-44.00552,-34.92436,-59.352695,-56.779015,-20.353224,-18.471308,1.9515865,2.02568,-1.414595,-1.3731544,0.074023075,0.24758479,1.0350472,0.8705052,-2.193011,-2.3136697,-1.5889676,-1.2063204,-0.17773223,-0.11556492,-0.028575191,0.020963665,-0.17709033,-0.14020693,1.2985455,1.3703871,-0.098538145,0.04254377,-0.07700889,-0.047558915,0.071700454,0.3343288,0.17795154,0.3289835,-0.22286746,-0.11442694
-134.3936,-142.28456,65.12657,63.951225,-44.044376,-34.95309,-59.343388,-56.74997,-20.390827,-18.485712,1.9689634,2.0265965,-1.4277232,-1.3724406,-0.12572601,0.06747509,1.1876433,1.0657079,-2.1507533,-2.2804132,-1.8361311,-1.4508963,-0.25303036,-0.18454827,-0.09950678,-0.040161874,0.0031968083,-0.11536234,1.1061434,1.244796,-0.19525456,-0.099865444,-0.018292043,-0.08391002,-0.20960686,0.09617998,-0.02139558,0.17301968,-0.20988327,-0.17980208
-134.32117,-142.26205,64.96843,63.917416,-44.069595,-34.980675,-59.31929,-56.725094,-20.41859,-18.498856,2.0173337,2.0383222,-1.4389386,-1.3840399,-0.32727614,-0.13498703,1.315531,1.2032843,-2.0911775,-2.2272542,-1.9910743,-1.6604882,-0.29459837,-0.2646338,-0.15777954,-0.06779949,0.17160925,-0.018239383,0.91045403,1.1089108,-0.214602,-0.16495077,0.035810437,-0.051099207,-0.4684867,-0.15295851,-0.20212322,-0.018614778,-0.20020072,-0.17990649
-134.28905,-142.2312,64.77528,63.891754,-44.116837,-34.992943,-59.34058,-56.692516,-20.486647,-18.50504,2.0475664,2.0818844,-1.4951422,-1.3939158,-0.55941844,-0.33425358,1.3544816,1.3135092,-2.0655234,-2.1578627,-2.0963113,-1.7870259,-0.34572354,-0.31306443,-0.27573773,-0.08906621,0.09583525,0.06808847,0.66320837,0.9544031,-0.30658552,-0.177817,-0.08627885,-0.020389304,-0.7234742,-0.3628692,-0.4137374,-0.17901704,-0.3169869,-0.17921628
-134.24554,-142.22847,64.598694,63.839138,-44.1342,-35.05522,-59.347095,-56.686867,-20.52915,-18.53538,2.1195061,2.1047783,-1.5371842,-1.4382261,-0.75358754,-0.55271643,1.3744214,1.3350888,-2.0048852,-2.1180327,-2.0679255,-1.8062822,-0.32358602,-0.33421716,-0.25600892,-0.16014579,0.008166788,0.019669663,0.45023337,0.748513,-0.33368003,-0.21534206,-0.1788732,-0.09760728,-0.88411844,-0.5095844,-0.5414386,-0.31606984,-0.36505535,-0.23864797
-134.10959,-142.2119,64.50517,63.801598,-44.059753,-35.087475,-59.294834,-56.671665,-20.480799,-18.552053,2.3218358,2.1713042,-1.4909915,-1.4710585,-0.834454,-0.7271893,1.4280056,1.3409386,-1.8417836,-2.0481102,-1.8014939,-1.7695014,-0.13873127,-0.30819654,0.009522791,-0.15473232,0.085709624,-0.025765197,0.3518284,0.53335017,-0.13213697,-0.21568611,-0.034254335,-0.14915635,-0.86214936,-0.58868706,-0.5036372,-0.3839241,-0.17946912,-0.2532324
-133.96773,-142.12935,64.433235,63.832157,-43.973003,-34.980824,-59.22974,-56.610275,-20.43627,-18.509249,2.5590196,2.3754182,-1.4237425,-1.4369284,-0.89052504,-0.8018568,1.4639224,1.3866663,-1.6757215,-1.8884999,-1.4307336,-1.6688486,0.10806364,-0.17985465,0.12680562,0.0020486298,0.06804492,0.035098787,0.25625452,0.3434436,-0.0084147705,-0.106956,0.058097437,-0.055956904,-0.7696863,-0.6157549,-0.37762517,-0.38588333,-0.020893728,-0.14889278
-133.91385,-142.04257,64.29684,63.869736,-43.95091,-34.86353,-59.229187,-56.544464,-20.47928,-18.462994,2.7275722,2.6157959,-1.4285307,-1.385335,-1.0074012,-0.85505456,1.3985254,1.4177289,-1.5943211,-1.725254,-1.1029195,-1.4179025,0.28003067,0.05555347,-0.12565285,0.06853804,-0.24911861,0.035431232,0.06635615,0.18329895,-0.17493096,-0.02851714,-0.15421896,0.009585884,-0.71815044,-0.5950856,-0.28737494,-0.31774452,-0.072149105,-0.041800372
