P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
-133.13826912000002,64.3437956,-42.6883832,-58.3295776,-20.60831384,-140.42647,62.974026,-33.271744,-55.64712,-18.713427
-133.75532056,63.910168080000005,-43.29802504,-58.4341112,-21.1748872,-140.97276,62.676643,-33.8003,-55.709137,-19.143196
-134.19261368,63.62641464,-43.88830048,-58.31683728,-21.47074504,-141.44669,62.448425,-34.321484,-55.71973,-19.529016
-134.45593184,63.4275248,-44.47923976,-58.1738664,-21.645152640000003,-141.80873,62.310326,-34.829597,-55.626606,-19.70113
-134.50955896,63.27073016,-45.02308016,-58.03430336,-21.79954496,-142.04918,62.217644,-35.33642,-55.558662,-19.797106
-134.64425768,62.84806112,-45.67545784,-58.30397888,-22.20580968,-142.11417,62.164383,-35.779133,-55.489933,-19.887716
-134.52776576,62.55879488,-46.02778784,-58.5060744,-22.44909016,-142.14532,61.96909,-36.277664,-55.64818,-20.143547
-133.72122704,62.84119152,-45.7468724,-58.2847072,-22.15006912,-142.02577,61.873188,-36.558083,-55.740414,-20.320047
-132.8478328,63.175824080000005,-45.50640896,-58.07539616,-21.87668728,-141.52974,62.159416,-36.396385,-55.574394,-20.2032
-132.4640392,62.99412088,-45.802132,-58.3670976,-22.0794096,-140.8732,62.54954,-36.24513,-55.40905,-20.04675
-131.70564488,63.0713228,-45.7455648,-58.28904176,-21.98600096,-140.37996,62.606575,-36.45625,-55.553017,-20.105942
-130.7515176,63.35418728,-45.395792,-57.94283288,-21.72204112,-139.64003,62.808533,-36.40812,-55.44403,-19.97987
-129.53849112,63.80962992,-44.7214708,-57.37106888,-21.3151908,-138.83574,63.108288,-36.19919,-55.20127,-19.828846
-128.78667232,63.8558636,-44.39451048,-57.21739776,-21.31343304,-137.85612,63.51092,-35.76407,-54.814224,-19.703009
-128.25212912,63.74375992,-44.27248224,-57.26138064,-21.4442948,-137.23924,63.573746,-35.62346,-54.78938,-19.80855
-128.13762744,63.32369776,-44.38001464,-57.64451272,-21.72874872,-136.75331,63.53797,-35.55457,-54.890785,-19.859747
-128.51397776,62.46228704,-44.85206904,-58.449087600000006,-22.32804096,-136.53435,63.33101,-35.569317,-55.172028,-19.895073
-128.81188663999998,61.69537352,-45.15436176,-59.06502984,-22.7158524,-136.71024,62.77064,-35.89983,-55.776352,-20.056122
-128.70610736,61.45200712,-44.98705072,-59.16869424000001,-22.607963840000004,-136.79544,62.297997,-36.121178,-56.231297,-20.074026
-128.44872104,61.50365736,-44.620048800000006,-59.09255224,-22.271968,-136.63193,62.115944,-36.07081,-56.402626,-19.943727
-128.20137176,61.6065772,-44.24870368,-59.07916696,-21.9702328,-136.41751,62.060455,-35.934944,-56.491787,-19.777039
-127.92791456,61.72986592,-43.86778184,-58.95223656,-21.59881464,-136.2155,62.071278,-35.823566,-56.618126,-19.621614
-127.66156024,61.76772512,-43.59830752,-58.89251615999999,-21.30166792,-135.95886,62.14476,-35.70844,-56.64961,-19.357637
-127.5984104,61.58624688,-43.54981248,-59.0238784,-21.1546664,-135.68394,62.23572,-35.620953,-56.680878,-19.048218
-127.58951184,61.4425412,-43.55957368,-59.14101608,-20.95216872,-135.54933,62.24762,-35.64634,-56.800587,-18.749886
-127.43872328,61.63012752,-43.26668112,-59.01339336,-20.42795968,-135.45909,62.274143,-35.715305,-56.920475,-18.39497
-127.48610432,61.8368552,-42.90515584,-58.94973768,-19.9314004,-135.26343,62.485634,-35.565136,-56.903763,-17.871094
-127.64185056,62.17342944,-42.35705,-58.844022560000006,-19.41127256,-135.21243,62.685444,-35.402935,-56.947548,-17.417425
-128.1226888,62.5167768,-41.94945992,-58.83785304,-19.03160376,-135.23222,62.97889,-35.09897,-56.95712,-16.979958
-128.83021016,62.80119440000001,-41.70550184,-58.92489024,-18.8599396,-135.49225,63.32262,-34.901775,-57.02378,-16.630518
-129.63425128,63.0657008,-41.55429672,-58.97224144,-18.76117088,-135.93744,63.675026,-34.83896,-57.14968,-16.417856
-130.15461656,63.606601440000006,-41.04151792,-58.73055672,-18.38953776,-136.4689,63.999336,-34.89088,-57.26201,-16.277733
-130.630246,64.08735136,-40.54954056,-58.47209968,-17.98508864,-136.85086,64.48338,-34.682896,-57.188354,-16.005398
-131.07673839999998,64.56377776000001,-40.07309272,-58.04856696,-17.54677984,-137.26079,64.87889,-34.541832,-57.113075,-15.738682
-131.65798904,64.81210200000001,-39.81742072,-57.8106808,-17.3471428,-137.68616,65.239456,-34.44351,-56.930237,-15.4554615
-132.53734608000002,64.72256304000001,-39.89192048,-57.883932560000005,-17.4860796,-138.2108,65.42464,-34.504387,-56.876816,-15.3207655
-133.64068111999998,64.4145176,-40.14408792,-58.14937072,-17.86312152,-138.87572,65.37001,-34.776794,-57.016773,-15.3663225
