P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
134.83458872,645.8445548,740.09707416,346.49293936000004,159.30918136,164.50586,664.08215,738.11053,337.24744,155.27635
134.88538592,646.0067715199999,740.04374192,346.39595128,159.12420792,164.35196,664.0739,738.0784,337.27032,155.09105
134.92358592,646.17942672,740.0907469599999,346.30874872,158.93486199999998,164.2109,664.0683,738.0119,337.31155,154.85251
134.95003728,646.34979112,740.1354489600001,346.25579448,158.73207192,164.08218,664.08673,738.0791,337.35336,154.76978
135.000736,646.54331064,740.1638408800001,346.21178112,158.51867912,163.96342,664.11896,738.202,337.41913,154.7992
135.08267856,646.7264364,740.0930272,346.1638932,158.32325776,163.83698,664.1418,738.18634,337.3898,154.68826
135.1254928,646.8629404,740.0108408,346.12765368,158.16964696,163.72556,664.1551,738.0896,337.4277,154.42972
135.18299263999998,647.0428222400001,739.9420656799999,346.1054464,157.98356104,163.63239,664.17664,738.1876,337.62158,154.41435
135.253148,647.19802752,739.9199853599999,346.04326247999995,157.82074448,163.51772,664.1994,738.0918,337.5992,154.36101
135.31492056,647.32406456,739.96125168,346.01318256,157.65527975999998,163.40501,664.1951,738.0082,337.59613,154.16542
135.35753008,647.44461336,739.9431912800001,346.00795808000004,157.47661464,163.313,664.18787,738.0959,337.72546,153.95564
135.37721264,647.5810245600001,739.88211824,345.98529840000003,157.31752712,163.22154,664.1869,738.1677,337.83585,153.9039
135.42407568000002,647.6982412,739.80480376,345.95145272,157.15634848,163.10727,664.2042,738.1425,337.83337,154.05351
135.51310992,647.81354192,739.6495351200001,345.9432404,156.99138136,163.01718,664.2011,738.1277,337.89154,154.03621
135.61024424,647.92127152,739.48568856,345.88967664000006,156.850024,162.9356,664.17615,737.9814,337.97394,153.7403
135.67219288,648.04778496,739.23520512,345.83032792,156.70034808,162.8496,664.1364,737.7589,337.99063,153.42413
135.71240376,648.09983704,738.92011232,345.77252152,156.5564896,162.74814,664.12524,737.4445,337.90402,153.40105
135.78882256,648.19430072,738.68537808,345.7185124,156.42920232,162.67479,664.09863,737.3846,338.07062,153.48
135.82411496,648.26719024,738.4316590399999,345.718142,156.31868744,162.6,664.0725,737.1544,338.07083,153.39433
135.90974672000002,648.34977256,738.2493739199999,345.7023524,156.22585392,162.51323,664.0447,736.99384,338.12814,153.44356
135.97286504,648.43252632,738.1637312799999,345.6771056,156.10769448,162.44331,664.0052,736.7949,338.17377,153.25386
136.01539584,648.52455872,738.13353608,345.65789128000006,156.01885632,162.36632,663.9658,736.6764,338.18347,153.12643
136.05863024,648.56090816,738.14338872,345.65503343999995,155.91239224,162.27374,663.93756,736.56024,338.14966,153.06111
136.0490484,648.62768464,738.1267677599999,345.61562712,155.79251576,162.19492,663.88245,736.65796,338.30725,152.89983
136.03215936,648.6639288,738.12694824,345.63366016,155.67663056,162.07321,663.84973,736.6604,338.30524,152.96492
136.03457928,648.714,738.21085768,345.62747136,155.5630008,161.96048,663.8058,736.7686,338.42206,152.9873
136.00550224,648.78405672,738.21909296,345.648328,155.4419812,161.84674,663.76056,736.87366,338.5007,152.88817
136.01373752,648.8424004,738.2844844000001,345.65386176,155.33839824,161.7086,663.7298,736.86707,338.51645,152.8776
136.01569,648.8966084,738.37639784,345.65203656,155.21790464,161.5827,663.67474,736.87244,338.57623,152.61153
135.96795744000002,648.94924912,738.4548992000001,345.64569967999995,155.09350768000002,161.44994,663.6108,736.86536,338.5945,152.31244
135.87677384,648.94995816,738.5478492799999,345.61134128,154.95926656,161.30655,663.5748,736.91815,338.55585,152.3538
135.82489655999998,648.97207704,738.59659752,345.55127088,154.85884912,161.16934,663.5399,737.23975,338.67325,152.56172
135.80901047999998,648.98622184,738.6209327199999,345.53878592,154.63914696,161.01466,663.4802,737.3232,338.7265,152.40862
135.7507596,649.05065904,738.668046,345.48803568000005,154.4307004,160.87836,663.3876,737.3583,338.8309,151.88327
135.66740224,649.1297976000001,738.6418017599999,345.46844824,154.24634616,160.70467,663.3362,737.29767,338.72055,151.63972
135.60057488,649.1672832,738.77504368,345.41085096,154.04033392,160.52872,663.31744,737.22375,338.5794,151.69867
135.60107144,649.20152552,739.0824827199999,345.33828752,153.86462728,160.4214,663.30475,737.5587,338.66544,151.74252
135.641692,649.28151384,739.27625792,345.27324744,153.69311879999998,160.34755,663.2668,737.9327,338.73843,151.5255
135.70800232,649.32398424,739.60644728,345.21650472,153.53515248,160.2509,663.22424,737.96796,338.59836,151.23383
135.7952612,649.3923438400001,739.93904176,345.13851008,153.36405648,160.21248,663.1844,738.2981,338.61758,150.99547
135.8877804,649.46779752,740.17938288,345.10217024,153.22457208,160.19705,663.1695,738.6676,338.62067,150.85591
135.98561656,649.58224008,740.4784716,345.09034864,153.09790008,160.19006,663.168,738.966,338.6442,150.81529
136.11018776,649.68685168,740.8628194400001,345.0757804,152.9430868,160.18071,663.18365,739.2374,338.5968,150.76582
136.23082768,649.82087112,741.2352776,345.06280672,152.82362784,160.19542,663.1866,739.609,338.63312,150.49644
136.316576,649.9308389600001,741.5864356,345.070302,152.70430704,160.18982,663.2003,739.88,338.59018,150.20282
136.3420608,650.0498944,741.8976240799999,345.07115080000005,152.581296,160.19748,663.22485,740.2656,338.63672,150.15732
136.43080392,650.18489056,742.02072728,345.027454,152.47895352,160.18408,663.2813,740.6582,338.65332,150.40067
136.5225224,650.31358504,742.11212192,344.99991071999995,152.39280872,160.16275,663.30835,740.77167,338.66174,150.19392
136.58332096,650.49409456,742.14417568,344.95724543999995,152.27500071999998,160.15176,663.3351,740.89655,338.79065,149.83313
136.62620368,650.711738,742.08253144,344.93164728000005,152.17458328,160.11874,663.40125,740.93744,338.75516,149.71582
136.68456136,650.90502448,742.0216680000001,344.8859784,152.07539416,160.07257,663.50305,740.85504,338.59732,149.82733
136.78830048,651.08041024,742.00392896,344.876206,151.98563592,160.05568,663.60767,740.849,338.5737,149.87361
136.91325208,651.23547952,741.89574712,344.83615472,151.87779584,160.07564,663.69226,740.86,338.65295,149.69348
137.03321768,651.38691792,741.80612904,344.80409472,151.77157864,160.09952,663.75024,740.7452,338.70267,149.4639
137.16844432,651.51551376,741.7292179199999,344.7854372,151.6481256,160.11736,663.8025,740.61475,338.62912,149.3628
137.29484136,651.5964383200001,741.6009238400001,344.79397336,151.56509680000002,160.14807,663.83075,740.4873,338.5531,149.20627
137.4013328,651.68476,741.5549277599999,344.77357600000005,151.45648496,160.19342,663.84076,740.37317,338.63104,149.06213
137.51637096000002,651.7661132000001,741.5304824,344.76600664,151.37560432,160.22992,663.859,740.35583,338.66266,148.95898
137.60485968,651.8863076800001,741.46315728,344.70591848,151.24325896,160.2734,663.87476,740.3371,338.7187,148.80424
137.71292984,652.01426568,741.38868744,344.65097944,151.14774015999998,160.29086,663.91626,740.31396,338.62518,148.81128
137.83518832,652.12483408,741.40856568,344.67166704000005,151.0402424,160.32172,663.96704,740.27216,338.53857,148.82237
138.02647152,652.24805368,741.490158,344.66442352,150.95512416,160.38988,664.0129,740.32983,338.58026,148.7744
138.21109016,652.3540732,741.5393377600001,344.65152216,150.91142016,160.48146,664.0451,740.3411,338.56226,148.50388
138.39991288,652.45635352,741.56098432,344.6749388,150.83683639999998,160.5809,664.0818,740.3538,338.57562,148.3741
138.56497752,652.55267,741.6388095200001,344.6721348,150.76165559999998,160.70636,664.1282,740.38324,338.62177,148.3662
138.76112768000002,652.68003808,741.8247792000001,344.70408112,150.70920632,160.81972,664.1762,740.4818,338.65515,148.43138
138.92556711999998,652.78328424,742.02093232,344.724222,150.65311488,160.92363,664.21423,740.5487,338.6139,148.19548
139.02463384,652.91326104,742.33073728,344.75562872,150.61303568,161.01817,664.2476,740.64764,338.70728,147.92516
139.087968,653.02846248,742.57354208,344.81808504,150.58215296,161.09209,664.32263,740.9167,338.76227,147.93233
139.131358,653.19114128,742.6547071199999,344.84520656,150.53531759999998,161.14885,664.4031,741.17615,338.83438,148.09013
139.21857864,653.27791192,742.72774408,344.8543952,150.47792616,161.16173,664.5026,741.3018,338.68268,148.30704
139.34643792,653.39276768,742.7977616,344.8819552,150.4525496,161.21283,664.5467,741.3605,338.76584,148.2262
139.44596272,653.42666088,742.81356808,344.92008064000004,150.41002120000002,161.27328,664.5887,741.347,338.752,148.00706
139.59194136,653.51598144,742.7402079999999,344.96049824,150.37495984,161.3645,664.61926,741.3664,338.98267,147.965
139.70978072,653.59010552,742.63934352,345.02241616,150.33963352,161.44144,664.6441,741.24084,338.94913,147.77429
139.81215512,653.66465328,742.65777552,345.0664672,150.27058448,161.50581,664.6708,741.1277,338.8956,147.71194
139.8974136,653.70295688,742.7334418400001,345.08300424000004,150.19661624,161.58655,664.7166,741.1849,338.86127,147.78297
140.02250136,653.74288504,742.87798168,345.097296,150.18534856,161.68144,664.75775,741.321,338.95956,147.87453
140.1264664,653.80011224,743.0189118399999,345.16302184,150.1536156,161.77483,664.7762,741.4214,338.991,147.72664
140.22806712,653.81821888,742.9980202400001,345.25124072,150.090426,161.85236,664.8025,741.52966,338.94028,147.61836
140.29873008,653.87178992,742.9380040000001,345.30361992,150.03894328,161.95656,664.82697,741.5114,339.09717,147.51208
140.38665328,653.9504090400001,742.87115632,345.3710072,149.99214608,162.02773,664.87524,741.4752,339.1477,147.51863
140.44001592,654.03233784,742.75773512,345.46544384000003,149.9401728,162.09401,664.9281,741.4032,339.12628,147.40138
140.49629472,654.1211300800001,742.59153912,345.5024852,149.88923752,162.15706,664.99945,741.32074,339.14282,147.41365
140.57561343999998,654.20280696,742.3367139200001,345.57185072,149.86442784000002,162.22319,665.07837,741.196,339.15417,147.42583
140.64061728,654.26806952,741.97459192,345.6320624,149.87651544,162.31018,665.15466,740.9627,339.24396,147.33151
140.72551296,654.37383184,741.57128432,345.72812936,149.85993768,162.39777,665.2351,740.64716,339.34457,147.36627
140.83731344,654.4401153599999,741.1100564000001,345.7755488,149.8420208,162.47395,665.3197,740.27136,339.2634,147.3409
140.92290424,654.4962452,740.6368387199999,345.8559748,149.79155408,162.57425,665.3828,739.81824,339.29028,147.21568
141.049994,654.5478631999999,740.2110324,345.92811671999993,149.77333288,162.68217,665.45605,739.4092,339.36115,147.21982
141.14622047999998,654.6065832,739.8078351199999,345.99108784,149.7597312,162.80388,665.512,738.99005,339.37366,147.10255
141.27222592,654.63586616,739.39835256,346.04638544,149.75607,162.91632,665.587,738.6479,339.33932,147.17545
141.38586976,654.69186528,739.01680752,346.12449952000003,149.7369924,163.06825,665.6516,738.30914,339.44858,147.16716
141.52449968000002,654.77438304,738.71245992,346.18465016000005,149.74035207999998,163.21222,665.7348,738.00366,339.48743,147.20186
141.66530584,654.84027024,738.4470616,346.23898224,149.7714104,163.3494,665.81396,737.6883,339.43155,147.07979
