P1-VMF0,P1-VMF1,P1-VMF2,P1-VMF3,P2-VMF0,P2-VMF1,P2-VMF2,P2-VMF3,P3-VMF0,P3-VMF1,P3-VMF2,P3-VMF3,P4-VMF0,P4-VMF1,P4-VMF2,P4-VMF3,P5-VMF0,P5-VMF1,P5-VMF2,P5-VMF3
-138.5976507324097,-4.584983628089973,-0.45415183640630435,-0.06664683369745651,55.99821396427604,0.5399400599333806,0.14836879074264112,-0.10615267816893888,-41.69822798644454,1.1645406550885167,-0.06421409201481292,0.6948285763017876,-44.78967261070488,1.6292643984946356,-0.10109543226543888,0.06474229488637488,-21.038961573376582,2.2779145752228325,0.2334923338854157,-0.09744876056946702
-138.73892628437446,-4.3917894143551255,-0.4163204961511465,0.04756097989519074,56.007822727836384,0.3478984951027597,0.29711745971895387,-0.014916684856812721,-41.59515557646719,1.1556299506451677,0.09890098092641432,0.6863977473479108,-44.671268594195,1.5620540047371707,-0.02429604706275498,0.13500553769791346,-20.992426530548208,2.2736372145654746,0.1362586456002981,0.03968689483275273
-138.90012679685958,-4.208044715658112,-0.3885505468440594,0.09239148842834914,55.995254035135375,0.13002050121118777,0.4035128481296253,0.04263089686073815,-41.52807957107958,1.0871477139849892,0.20915910280732672,0.5960998094483788,-44.57679191368412,1.4682761001525753,0.013772470443644921,0.19754403082816457,-20.97746826713289,2.232479905533177,0.007529869674008044,0.11248467600950196
-139.04760908988936,-4.000244821280389,-0.327589604335538,0.09677366123198249,55.98011387766601,-0.0910563905514472,0.4737195104273805,0.07759397173869977,-41.47702332775704,0.982900398575182,0.2651629381317305,0.45237871570613297,-44.500931902487466,1.3549504351303205,0.016073660274705862,0.24687252733043125,-20.967570658432848,2.1819901866116633,-0.11902205962591167,0.13304871740392246
-139.17173963452188,-3.7597795276949286,-0.2189219789149969,0.07830905088003337,55.96927222336257,-0.3054566786164529,0.504241782124463,0.10462981640511333,-41.416557036372545,0.8744448802233143,0.2823886562577006,0.2961941897859957,-44.419135275599984,1.250857741253836,0.06700822847979285,0.3043813706929557,-20.943290220836467,2.142958480451217,-0.2155382528879113,0.1394355485194526
-139.27727200026823,-3.494833894626544,-0.0742085730530947,0.013680014317593053,55.95342865306402,-0.5210238498324866,0.4736236640283389,0.08909058772579619,-41.38095134951132,0.7284295352388217,0.1437024217150493,0.09752431213558399,-44.35122528086269,1.1355600224844906,0.10032381236248929,0.3295690499508612,-20.916055826916207,2.1039513535821497,-0.291471734440132,0.10335147254780314
-139.38461753994684,-3.23067986755683,0.07162292422328569,-0.12411142867908107,55.926039276373565,-0.7425765022269616,0.36995081317994516,0.01815403153524283,-41.36000771338725,0.5610727222166467,-0.10468136653970653,-0.11613929968292466,-44.310525573258786,0.9956393172474844,0.05374756737922691,0.2930551772472176,-20.903805857009573,2.0468285868861815,-0.364221665680066,-0.001607940284510742
-139.48936002214288,-2.965681973424488,0.21500686424205695,-0.2528528211659861,55.88902517874088,-0.9650448768193569,0.20210927578062554,-0.057720264082842705,-41.34708650907812,0.38768049351448325,-0.3162032090639507,-0.314030275343278,-44.288994378294824,0.8429441751446959,-0.017215506503763956,0.20686192506694984,-20.88649413543469,1.992892314528644,-0.40743721539549305,-0.09909242230357714
-139.574447268929,-2.684403057132232,0.36859928323648444,-0.24843603414939106,55.86379592157548,-1.162572001747824,0.009599247668440903,-0.05381073200183546,-41.300994599476624,0.2598357176345234,-0.31182495420423023,-0.4280932236997411,-44.268453506301334,0.7009442115104558,-0.025058934323379196,0.10431188387679718,-20.848053245256775,1.9592122618328778,-0.4007058455514252,-0.1285662120928721
-139.64962651634264,-2.400180775170225,0.5102396539989337,-0.1017209587122727,55.83525627110554,-1.3484653364028782,-0.2100282255239148,-0.018407455657712984,-41.25371323463303,0.14665870063341244,-0.19098032546163626,-0.48814184425719115,-44.265197219909446,0.5554120360997523,-0.012750838940977663,-0.022860607870003758,-20.815237225738336,1.918583247872795,-0.37379182716684795,-0.13733663603353483
-139.71268766157368,-2.114317709716262,0.6297876412057039,0.12659496299025644,55.81142387313448,-1.5120372160284843,-0.42941618222359196,0.013338714967849025,-41.20282420759264,0.0521545536103406,-0.054524967632719155,-0.49137553936569806,-44.26651521357248,0.42324415596777876,0.004856167822373483,-0.14369009775503844,-20.76288627174615,1.8967447069753347,-0.30119127466703344,-0.1049089558891432
-139.77645625818923,-1.8440021967214868,0.7000598304615804,0.29874143888917554,55.793220340580575,-1.6503945426558555,-0.6289527016862348,0.00609634040121924,-41.14602106048218,-0.020191283177351554,0.0390907199857169,-0.4384502279857139,-44.271980120061514,0.3075184379082945,-0.00848132709504428,-0.24367899346014396,-20.721454224322628,1.8623401972809253,-0.22026943077148045,-0.10287970167698884
-139.84462670259856,-1.5962646094584483,0.7092625203576233,0.3203974805234154,55.7729325489012,-1.7699136712509669,-0.7995941171878579,-0.045109120834588914,-41.080472691432966,-0.06804241161337143,0.08462145499585258,-0.3355809602075381,-44.295699660547406,0.19528674363057688,-0.07005114653559161,-0.3282762080666708,-20.680326805566082,1.8261952791934126,-0.12318542383907316,-0.1052518496045747
-139.91860903735906,-1.3745861733938913,0.6559937438939639,0.1889352392167215,55.77610139845508,-1.8422656127430812,-0.8949407962945067,-0.04951934898513611,-41.017090606505874,-0.10545371571185355,0.0873643513162966,-0.21029034881751732,-44.31326224676425,0.11522902556792765,-0.06711598284179306,-0.3552738622068335,-20.63487718142299,1.7932881304042896,-0.007958068656648042,-0.06900412990181196
-139.98947784255452,-1.1703879314258672,0.5588056252260032,0.002913336377220348,55.78841216555829,-1.8823817968289929,-0.9245942946359887,-0.028464339204182877,-40.958151798309764,-0.1376859061411844,0.08388465740565072,-0.08116509652202278,-44.32874189818423,0.0641696127561891,0.008702227580838726,-0.3268107548239614,-20.5820851509605,1.7667597522448484,0.12423833238044069,0.027163106089016394
-140.03996018066562,-0.9663786555118719,0.44786496082435745,-0.12016072028057459,55.81306071959701,-1.8880698103270799,-0.8860474311769176,-0.007631295048150856,-40.897727668569296,-0.1615147348015731,0.10018035398808457,0.043067003101348166,-44.34080120905036,0.0423829185586606,0.08489378851869599,-0.25156570429452263,-20.51876307413058,1.7495446292838135,0.27027258478561816,0.1595362672484762
