P1,P2,P3,P4,P5
157.51894479999999,617.9081464,631.1934796,328.74975288,164.95130976000002
157.6907212,618.04509376,631.39383784,328.92448864,164.97128456
157.74341016,618.03205272,631.53464152,328.89489584,164.90877016
157.86968048,618.0536226400001,631.7332248,328.89460687999997,164.88292472
158.02401968,618.0035828800001,631.8922344,328.784576,164.83885247999999
158.14153679999998,617.93709272,631.98607904,328.54260847999996,164.72066528
158.18949632,617.6850364000001,632.02840048,328.2348828,164.5535588
158.15859416,617.21003808,631.98609496,327.8355184,164.31173368
158.09490672,616.8336095999999,632.09075392,327.53158552,164.12001744
157.9867568,616.55513848,632.2436407199999,327.23234624,164.01124751999998
157.67614416,616.15220032,632.28245912,326.72808104,163.77221487999998
157.36205551999998,615.75783664,632.15938104,326.24066168,163.5389032
157.27196744,615.65346272,632.17739456,325.95395007999997,163.54942856
157.17518496,615.46695496,632.10142192,325.66896768,163.53291808
156.98054688,615.2277791199999,631.89858888,325.2944024,163.41839112
156.7301448,614.9913964,631.77557816,324.91363688,163.28961832
156.44186648000002,614.72512384,631.65702128,324.50603808,163.19893488
156.1111424,614.42025608,631.45487328,324.01219312,163.07903632
155.71542624,614.0587139200001,631.14015616,323.40131704,162.8511532
155.46575736,613.8658104,630.79509664,322.88567975999996,162.70543056
155.17209119999998,613.63649344,630.32646688,322.34712008,162.4901036
154.73163807999998,613.21332616,629.6164308799999,321.67865344,162.08706992
154.35181576,612.89219632,629.02164368,321.06670352000003,161.72541592
154.03536712,612.74163264,628.69526256,320.57545472,161.40560888
153.68778304,612.53052032,628.32276872,320.08194928,161.03821144
153.36752887999998,612.27625376,627.9391248,319.59362152,160.63060824000002
153.06812552,612.0572752,627.59475568,319.17585336,160.16744183999998
152.5413388,611.78733192,627.11070496,318.6938496,159.57306272
151.93693439999998,611.5458112,626.5860263999999,318.2332368,159.01340048
151.46633096,611.57768072,626.33096408,317.93973600000004,158.65442248
151.01548584,611.68238296,626.16826256,317.68842728,158.390198
150.48289192000001,611.8308067199999,625.98187696,317.40091376,158.07292752
149.97065344,611.97805928,625.66434872,317.13147288,157.78806544
149.45917767999998,612.01119616,625.25860048,316.76893136,157.45577936
148.93996328,611.9970148799999,624.82922064,316.3210244,157.11365056
148.40411368,611.98844648,624.31809744,315.88074456,156.74440976
148.00429776000001,611.97060144,623.86669408,315.48197272,156.34777296000001
147.548436,611.90353992,623.42642264,314.9780424,155.82184544
147.07144232000002,611.69551336,622.90101936,314.44741088,155.30142352000001
146.7190568,611.61611528,622.4758124,314.06943384,154.89009072000002
146.31155376,611.5831836,622.04226776,313.65281296,154.46184888
145.8425316,611.5250333600001,621.50856944,313.19999168,153.99313552
145.3717504,611.4544052,620.9143252,312.69969399999997,153.57319496
145.03009992,611.399748,620.37858128,312.20532104,153.2105424
144.64637472,611.2886961600001,619.9028554399999,311.65749703999995,152.86752583999998
144.25647264,611.18639824,619.43970304,311.06595016,152.4594464
143.87696376,611.15400016,618.97319048,310.44001152,152.09412
143.46414256,611.1424676,618.4459629600001,309.82449784,151.74272736
142.91886368,611.03373176,617.87245024,309.1207872,151.29574672
142.40179648,610.99485824,617.43898736,308.3725364,150.87617368
141.97196968,611.07817672,617.05867488,307.72366296,150.51678504
141.48350792,611.13054792,616.67719344,307.05093496,150.08782928
140.92078696000002,611.07614232,616.13544272,306.29144064,149.54967784000002
140.36550056,610.9878212799999,615.46258696,305.59231511999997,149.06447287999998
139.89303,611.02961312,614.809092,305.0843032,148.65698744
139.47905896,611.09813976,614.18948928,304.65493376,148.32016240000002
139.1998048,611.2456056,613.68685896,304.27576320000003,148.0079232
138.89283168,611.30582432,613.0966192,303.86971032,147.6348048
138.50432536,611.3318662400001,612.41998048,303.36177632,147.15733296
138.19409256,611.4057976,611.85253624,302.83259871999996,146.77085968
137.69236288,611.40056896,611.20185656,302.07232855999996,146.2108764
137.14582832,611.337502,610.51252528,301.26244528,145.54838584
136.69688312,611.38934392,609.9055244,300.52953008000003,145.034046
136.24984447999998,611.5939112,609.44254392,299.91214968,144.54624544
135.63575903999998,611.5197928800001,608.7956160800001,299.07264528,143.87607952
134.949978,611.3609971999999,608.15762016,298.18962344,143.17033528
134.5036112,611.38887816,607.72824808,297.62842208,142.7498748
134.00887896,611.35972256,607.2842488,297.02503336,142.24156976
133.44156936,611.11009944,606.75964456,296.29035264,141.6572148
132.95103104,610.90199112,606.34727736,295.57546407999996,141.2352716
132.34442176000002,610.60694328,605.76697496,294.76848928,140.71705663999998
131.76478880000002,610.48638944,605.28710624,293.99505088,140.26981296
131.30484872,610.47778248,604.82851464,293.32234256,139.90280752
130.7874692,610.38644536,604.3963313600001,292.69951607999997,139.52127584
130.17382496,610.1810360000001,603.9069648,291.964038,139.03155
129.53954072,610.0231399200001,603.37301856,291.31065192,138.55921408
129.01294040000002,609.9022384,602.88938168,290.7253056,138.14903424
128.4673416,609.7919481600001,602.4899304,290.10780536,137.7408976
127.84017136,609.67942984,602.07256464,289.47582912,137.34279408
127.17189512,609.52440368,601.65012688,288.7348144,136.8741688
126.58294688,609.40028224,601.20618184,288.07153040000003,136.48993976
125.9745392,609.26773768,600.72610576,287.41287544,136.0788028
125.3262256,608.98875088,600.21402944,286.74905224,135.59375528
124.85639087999999,608.95628616,599.84420712,286.2319424,135.30141344
124.406474,609.04303696,599.52049344,285.80470128,135.09494176
123.89351495999999,608.93442856,599.13322664,285.34744928,134.80128144
123.4163148,608.83291392,598.89737768,284.9716772,134.55610543999998
122.85115256,608.63459936,598.58952808,284.50599056,134.23890584
122.39027424,608.50107224,598.35274696,284.093878,134.00047824
122.07452024,608.5541532,598.2238728799999,283.84249944,133.88829416000002
121.62090456,608.46538288,597.89781768,283.47833751999997,133.70502016
121.10103672,608.3901572,597.5692852,283.0195884,133.43998688
120.64973168,608.30350176,597.2482332,282.64906168,133.25335472
120.27161584,608.3572588,597.0399895200001,282.33795208,133.12135120000002
119.86249416000001,608.34671584,596.9048146399999,281.97621152,132.96061232
119.39822248,608.21784776,596.7325312,281.60286256,132.77043776
118.93989352,608.10306736,596.63381712,281.22510808,132.554054
118.50257128,607.99590312,596.59760232,280.91990632,132.39513168
118.08733936,607.8503028,596.61101672,280.63048104,132.2059528
117.66587320000001,607.7518817600001,596.57746968,280.429212,132.0803228
117.31271864,607.76589968,596.5382352,280.33212824,131.97494496
116.93335488000001,607.78394224,596.45803016,280.24670416000004,131.8570092
116.583226,607.829534,596.40476456,280.22409816,131.80324048
116.28914952,607.94773432,596.39544528,280.2463796,131.81192112
115.97194992,608.02293472,596.39192096,280.24834792,131.7635404
115.60028536,608.025294,596.46368168,280.22649552,131.70470536000002
