P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
232.98848768,231.14442192,228.69671096,86.76089576,59.7106768,232.84079,232.4808,227.38306,88.41944,60.31974
232.99707424,231.09529336,228.75323704,86.90512639999999,59.83031976,232.89627,232.39217,227.38463,88.55241,60.43485
233.00129816,231.08436112,228.80185888,87.03458495999999,59.933024640000006,232.95953,232.29762,227.39482,88.69641,60.546577
232.95196448,231.04278344,228.84887992,87.15312808,60.03405872,233.00175,232.20412,227.40536,88.80882,60.626503
232.8362436,230.997408,228.88347368,87.21315168,60.077106,233.00241,232.14337,227.42926,88.93199,60.716087
232.74960272,230.94365672,228.9789032,87.28636383999999,60.14637,232.96455,232.1956,227.46236,89.10305,60.846306
232.70233528,230.91165736,229.08071688,87.34498152,60.2381584,232.93214,232.16235,227.52368,89.208046,60.93359
232.69404376,230.9048344,229.209528,87.41041320000001,60.34337096,232.92805,232.12567,227.5905,89.294785,61.030678
232.6661348,230.84427128,229.30793208,87.43014472,60.37627424,232.94731,232.05376,227.67346,89.343315,61.096863
232.61581768,230.81088568,229.43751504,87.44177336000001,60.42141128,232.95811,232.01526,227.74606,89.41485,61.16552
232.58437896,230.79638888,229.58380096,87.42358392,60.41590352,232.95135,231.9959,227.82509,89.465164,61.22351
232.51434128,230.77361128,229.67720912,87.40319912000001,60.43753031999999,232.9363,231.92073,227.9017,89.44399,61.215122
232.49408544,230.73317584,229.74520464,87.33088359999999,60.45758480000001,232.91594,231.95944,227.95493,89.48722,61.28455
232.45207432,230.69719944,229.77715912,87.2218408,60.4699652,232.89601,231.87189,228.0024,89.40926,61.276478
232.39801872,230.63416728,229.78827544,87.09283144000001,60.43434784,232.87001,231.85316,228.04012,89.3412,61.290073
232.43189336,230.70163256,229.8614556,87.00820567999999,60.46004576,232.85724,231.9128,228.06613,89.32468,61.332054
232.489558,230.87248912,230.00346704,87.04107583999999,60.62380152,232.88309,231.87885,228.10622,89.22779,61.32796
232.4973848,231.02465008,230.13800832,87.06342464,60.73772416,232.93143,231.88014,228.17152,89.176445,61.389442
232.44666288,231.16841536,230.25868152,87.08999943999999,60.8315336,232.94533,231.92957,228.24864,89.168755,61.456493
232.344518,231.29543,230.36444248,87.12741184000001,60.91473808,232.90822,232.03056,228.34454,89.19017,61.51199
232.32842544,231.48619040000003,230.48488136,87.19892503999999,61.024569680000006,232.85278,232.23715,228.43779,89.27431,61.586597
232.33204112,231.688252,230.67272056,87.32365808,61.13931136,232.82814,232.32349,228.51538,89.29005,61.613045
232.2639996,231.77959448,230.79106616,87.33129263999999,61.19279624,232.79938,232.31468,228.59245,89.270515,61.612553
232.0347504,231.81379584,230.76840496,87.24259696000001,61.16135776,232.70605,232.30098,228.636,89.21111,61.590176
231.8355076,231.9062136,230.69624584,87.17441256000001,61.08890224,232.52328,232.54044,228.63383,89.21971,61.582123
231.71977688,232.08031464,230.65568688,87.13944008,61.03042736,232.32654,232.70645,228.6037,89.17427,61.516205
231.68777576,232.32484128,230.66506992,87.16117232,60.99418472,232.1982,232.8272,228.54474,89.10994,61.431572
231.71794024,232.67648544,230.70345152,87.18396935999999,60.979998720000005,232.14044,232.92668,228.4518,89.04601,61.34752
231.60508,232.94735456,230.60695816,87.07372503999999,60.87596656,232.09161,232.98776,228.3411,88.90637,61.2323
231.43484312,233.08843416,230.3820152,86.90873848,60.72028568,231.96306,233.22186,228.18631,88.82089,61.1489
231.11917032,233.2146524,230.08693648,86.66627248,60.51591264,231.75706,233.35234,228.00502,88.6707,61.017498
230.80724416,233.37096032,229.85710224,86.4683368,60.33161496,231.49568,233.63351,227.80246,88.61015,60.947723
230.58495448,233.58525144,229.74626216,86.33412264,60.25793792,231.24358,233.91191,227.59258,88.56261,60.903713
230.38221096,233.82034072,229.65048088,86.2382588,60.19978656,231.03221,234.16988,227.38586,88.4643,60.8664
230.09579248000003,233.9563144,229.50561184,86.07846688,60.04273872,230.83372,234.44672,227.16925,88.35451,60.820484
229.72017656,233.97041104,229.25889072,85.81202368,59.7999076,230.57132,234.71652,226.96654,88.25474,60.74153
229.293362,233.91452488,228.93096272,85.47202464,59.475998,230.24785,234.94734,226.78049,88.15006,60.623074
229.0570216,233.91330456,228.68607872,85.24992551999999,59.2503112,229.96526,235.1616,226.60489,88.201744,60.60849
229.06250256,234.0472628,228.63130672,85.18936464000001,59.15389592,229.806,235.28406,226.46014,88.14183,60.503834
229.10149544,234.19308776000003,228.581104,85.11055688,59.02321864,229.76099,235.35815,226.3708,87.90149,60.26094
229.22555176000003,234.32021176,228.54003792,85.04523295999999,58.94398728,229.78107,235.43716,226.2819,87.83381,60.167973
229.49782664,234.52201704,228.62672048,85.0701484,58.92622784,229.88475,235.4748,226.19272,87.863464,60.175262
229.977378,234.8459632,228.83931376,85.26738160000001,59.08122528,230.09297,235.5002,226.12646,87.83325,60.14804
230.17030144,234.83235016,228.84078056,85.1401284,58.96417952,230.36073,235.49757,226.10852,87.43538,59.833725
230.10393928,234.55284104,228.63557224,84.70092776,58.60557111999999,230.50804,235.44931,226.0807,87.333565,59.752117
230.11463272,234.21657408,228.52788464,84.35270792,58.35550448,230.49492,235.36685,226.06055,87.36399,59.775906
230.25470856,233.99568792,228.551684,84.13492303999999,58.24476544,230.4893,235.19305,226.09511,87.23925,59.69689
230.79674512000005,234.15093248,228.97178768,84.40499928,58.56141936,230.63826,235.07045,226.13318,87.26064,59.763817
231.26270568,234.24357392,229.33641648,84.64078728,58.81958936,231.0057,234.98335,226.26483,86.982635,59.61759
231.66005056000003,234.311668,229.61063432,84.84384104,58.96389552,231.43877,234.90599,226.38066,87.016235,59.689636
232.03221584,234.42691784,229.83612544,85.0143908,59.1518748,231.83116,234.84079,226.51263,87.13248,59.790226
232.30780936,234.36595592,229.93882632,85.0772748,59.315592,232.15111,234.80333,226.67596,87.14697,59.829643
232.51979568,234.24330064000003,230.01340392,85.15022392,59.46793344,232.41357,234.7405,226.81117,87.220764,59.956306
232.67169616,234.133354,230.11178192,85.17006256,59.57235552,232.63164,234.67857,226.92992,87.31575,60.102497
232.82142432,234.04467336,230.21287824,85.16174456,59.68818168,232.81412,234.66338,227.0371,87.406586,60.25852
232.9863912,234.05304896,230.41643376,85.28693536,59.850560400000006,232.98764,234.67265,227.12086,87.48285,60.41709
233.15240184,234.04765232000003,230.58321992,85.38397224,60.02892232,233.164,234.70752,227.23729,87.55353,60.557697
233.21608744,234.00418848,230.67485344,85.44598599999999,60.16024272,233.32007,234.70819,227.35321,87.604805,60.686596
233.26924344,233.88965528,230.8002164,85.5793212,60.2820736,233.42476,234.78151,227.46385,87.78223,60.919197
233.3052568,233.69596968,230.86217144,85.6758192,60.3575864,233.4887,234.74683,227.60422,87.933914,61.078705
233.34176144,233.50156936,231.01418672,85.75704744000001,60.46590376,233.53604,234.663,227.71873,88.10759,61.241184
233.4308828,233.40382208,231.23383072,85.90926327999999,60.63923808,233.58038,234.55766,227.86789,88.251915,61.408493
233.39160072,233.25401272,231.3619184,86.00995992,60.83285096,233.621,234.35371,228.06319,88.27704,61.48309
233.3814932,233.15127,231.64610848,86.14542327999999,61.055110240000005,233.62991,234.41455,228.26207,88.5494,61.802723
233.41067488,233.08211064,232.01222616,86.31626727999999,61.30379896,233.63683,234.39256,228.55496,88.74152,62.05058
233.43090264,233.04967904,232.59862896,86.51213328,61.52470192,233.64542,234.28465,228.89137,88.860214,62.23205
233.41207088,232.92547232,233.17217072,86.70553936,61.69194328,233.6607,234.16405,229.31334,88.97612,62.396267
233.44112752,232.80494784,233.64615984,86.88618472,61.83909992,233.66933,234.08203,229.70436,89.19616,62.58772
233.47874408,232.70348136,234.07955928,87.13116112,61.98643344,233.67516,233.88681,230.00685,89.33339,62.681786
233.4710528,232.58976824,234.3914684,87.38483424,62.12660032,233.68584,233.69008,230.22871,89.497574,62.763866
233.56106472,232.45815432,234.50889544,87.58348480000001,62.26460936,233.70651,233.64377,230.3667,89.7991,62.934307
233.71874768,232.40641632,234.49274064,87.81036824,62.38513144,233.78082,233.50508,230.42963,90.00172,63.05005
233.9866868,232.41589256,234.4298472,88.14259504,62.606511600000005,233.9342,233.43718,230.43454,90.22771,63.184143
234.16290368000003,232.29322784,234.20348912,88.40746768,62.6945996,234.1381,233.21591,230.3884,90.37803,63.269444
234.1882304,232.00789552,233.86471248,88.56654688,62.70003736,234.27437,233.05605,230.24002,90.56694,63.343502
234.19005752,231.72389584,233.62204216,88.6830976,62.7014144,234.30664,233.00426,229.99861,90.750595,63.434113
234.18840864,231.51621184,233.4562816,88.93414552,62.7727088,234.2912,232.86551,229.7651,90.84602,63.4839
234.20342888,231.3797772,233.36294368,89.15330672,62.84256664,234.26436,232.73822,229.58066,90.96877,63.553104
234.10171408,231.29070648,233.20212144,89.31734656,62.92177952,234.22601,232.59126,229.47002,91.05529,63.591362
234.01316256,231.3413324,233.11457896,89.45941896000001,63.05990552,234.14906,232.7033,229.39256,91.1583,63.716972
233.95068376,231.56856656,233.16849512,89.56324808,63.2820968,234.0687,232.84483,229.36328,91.21649,63.84488
233.93574856,231.87101088,233.19433944,89.5687752,63.44367568,234.00256,233.02083,229.37975,91.23184,63.98706
233.86138528,232.2018968,233.24072688,89.46933784000001,63.57036808,233.95348,233.18005,229.39545,91.18181,64.07879
233.79733896,232.517232,233.17323608,89.30778792000001,63.59931736000001,233.88666,233.47879,229.43428,91.095764,64.16151
233.71759088,232.76335584,233.12729888,89.1429296,63.56658,233.79553,233.7322,229.46075,90.96724,64.16548
233.63655776,232.88976,233.07669616,88.94248408,63.5043168,233.70087,233.98386,229.50002,90.839,64.13629
233.66240496,233.07960256,233.13769352,88.7993968,63.55326256,233.61737,234.18054,229.52745,90.70884,64.1052
233.55395216,233.257624,233.07208152,88.56810752,63.48409712,233.54504,234.0758,229.58624,90.4983,64.04202
233.4264824,233.49300936,232.98097432,88.40114136,63.42146352,233.44177,234.33272,229.60385,90.34873,64.01615
233.3799624,233.86356744,232.94181272000003,88.2944412,63.36735256,233.33266,234.69058,229.60724,90.24365,63.99496
233.27588992,234.22609528,232.81810208,88.11400895999999,63.16758832000001,233.2178,234.86977,229.61586,90.03795,63.896877
233.0248424,234.40028952,232.54110296,87.738268,62.78662128,233.05107,235.13008,229.59518,89.76943,63.69931
232.76659424,234.47847,232.2539612,87.27274416,62.4034384,232.8059,235.54738,229.52199,89.547325,63.479126
232.647658,234.56698048,232.04419608,86.92411584,62.11752968,232.54492,235.82982,229.4301,89.25704,63.23139
232.57847608,234.73290136,231.89211256,86.61524112,61.85606872,232.35611,235.88441,229.32753,88.83237,62.90101
232.52943872,234.86498704,231.6897784,86.31866736,61.61576624,232.25116,236.01923,229.21725,88.485985,62.630257
232.54239528,234.99436512,231.50183824,86.01333792,61.35186624,232.19815,236.18503,229.07698,88.240524,62.429806
232.53835104,235.07390056,231.22962208,85.62582191999999,61.05794072,232.15959,236.24136,228.95648,87.8829,62.120533
232.4855592,235.17859056,230.99524872,85.2829632,60.79316104,232.11755,236.30696,228.81569,87.56092,61.840847
232.49464256,235.32133576,230.80652,85.011978,60.58211072,232.07817,236.4605,228.6971,87.367584,61.68027
232.52495464,235.45188344,230.63913344,84.77544024000001,60.33196664,232.0525,236.53796,228.58853,87.08202,61.428684
232.53473512,235.61739528,230.49607632,84.5376996,60.12817024,232.04681,236.59631,228.48195,86.8194,61.166164
232.65214536,235.78608808,230.31969808,84.27085543999999,59.989213840000005,232.0812,236.73721,228.38535,86.66698,61.038662
232.83582416,235.98006384,230.19108960000003,84.1048428,59.88557328,232.1723,236.81497,228.27464,86.41038,60.86439
232.98142360000003,236.09984952,229.99751304,83.8364176,59.700737280000006,232.31075,236.86304,228.18352,86.12776,60.65533
233.12057432,236.24768784,229.80960192,83.55471344,59.58454072000001,232.43497,236.9106,228.06906,85.88206,60.48322
233.16740888,236.28741328,229.57688808,83.18627511999999,59.36324696,232.53563,236.96544,227.96548,85.559395,60.283787
233.31722848,236.3655796,229.39612872,82.91663968,59.22334392,232.60826,237.03561,227.84477,85.356346,60.19011
233.4402608,236.43393,229.23098416,82.6840256,59.06484224,232.69667,237.05478,227.74338,84.99685,59.9451
233.50283424,236.362894,228.99927616,82.47021167999999,58.88611840000001,232.77107,237.08604,227.65932,84.698296,59.723236
233.53963672,236.28864264,228.75443832,82.33174256000001,58.7233196,232.8321,237.0891,227.56602,84.55519,59.603027
233.68665496000003,236.31930032,228.67976392,82.37382176,58.69449743999999,232.89117,237.11954,227.46939,84.547745,59.565964
233.765208,236.31468936,228.59276848,82.35354504000001,58.62818231999999,232.96643,237.11348,227.42188,84.35808,59.37068
233.7097468,236.16338824,228.4267964,82.23050031999999,58.4910232,232.9985,237.1001,227.37297,84.2217,59.224377
233.69747256,236.0027052,228.20180232,82.03979704,58.33603656,232.98892,237.1326,227.3205,84.295456,59.257942
233.846124,235.91656088,228.17157328,81.9751464,58.31109008000001,232.98753,237.11162,227.26485,84.29365,59.227386
233.9217344,235.79904856,228.03824096,81.85807768,58.26643144,233.03043,236.91684,227.29974,83.989075,58.9839
233.955896,235.69086968,227.884418,81.72251832,58.17969032,233.07483,236.81943,227.32172,83.90213,58.911144
234.17156016,235.72429912,227.93853576,81.72784848,58.223002560000005,233.16167,236.86041,227.33662,84.00373,58.966625
234.6205116,235.9701624,228.19993712,81.95440968000001,58.479375440000005,233.38673,236.83702,227.38026,83.97971,58.965977
234.94716752,236.08775928,228.36029016,82.01584872,58.60705432,233.70393,236.59772,227.46649,83.68499,58.83853
234.76210136,235.74419976,227.98107552,81.59148776,58.20605232,233.88863,236.17331,227.55869,83.28316,58.57749
234.58273248,235.57345632,227.703814,81.24094368,57.9178992,233.82278,236.39923,227.49968,83.44166,58.539227
234.62537928,235.63303,227.65164832,81.0500084,57.85984448,233.67606,236.4264,227.48444,83.295105,58.33747
234.65162816,235.61976784,227.50769536,80.806946,57.739526960000006,233.61499,236.24055,227.49077,82.95415,58.11625
234.77830688000003,235.6458272,227.43234768,80.60464688,57.62809432,233.6486,236.2857,227.41437,82.81524,58.035175
234.83363208,235.65802096,227.32121328,80.32973815999999,57.47800744,233.70734,236.13924,227.35931,82.5376,57.850437
234.72105128,235.63168488,227.03933096,80.00806408,57.226202400000005,233.69968,236.02405,227.3133,82.24527,57.6411
234.61217136,235.73164696,226.90863368,79.83573591999999,57.07003472,233.61165,236.19666,227.21587,82.16483,57.52897
234.50908504,235.8316116,226.75003152,79.74949856,56.94751968,233.49678,236.31403,227.15793,82.05958,57.408504
234.42550384,235.87767416,226.54605352,79.61626272,56.81571128,233.38203,236.40883,227.05602,82.00087,57.31842
234.2899252,235.90676264,226.23008688,79.4253648,56.59594128,233.2708,236.44946,226.92763,81.916534,57.202812
234.16256136,235.8612604,225.8612404,79.12828432,56.3288764,233.1184,236.54144,226.76491,81.84212,57.05498
233.98776184,235.83347016,225.43962544,78.80710968,56.04551648,232.96313,236.57,226.59128,81.70714,56.851303
234.1052468,236.05473144,225.30365288,78.73476512,56.05334688,232.86612,236.86467,226.37457,81.79051,56.86718
234.24646488,236.29504416,225.11429512,78.70918504000001,56.05306344,232.89842,236.83412,226.23792,81.54079,56.68408
234.20457744,236.39460632,224.86780864,78.5705988,55.97025872,232.9629,236.82283,226.0884,81.33073,56.520847
234.10959096,236.42584952,224.6267876,78.3793788,55.76437312,232.95442,237.06915,225.9686,81.391815,56.561367
233.9884544,236.38481768000003,224.44379928,78.18672448000001,55.5382964,232.85251,237.14804,225.89151,81.332794,56.43278
233.8931176,236.31751184,224.2998552,78.01177032,55.31092056000001,232.7255,237.16833,225.85089,81.27454,56.28184
233.93891704,236.39303416,224.28967488,77.98886568,55.21199544,232.64557,237.21503,225.81985,81.28681,56.191467
234.01220392,236.42855504,224.24719064,77.93637984,55.1461596,232.63278,237.14938,225.8305,81.14879,55.997658
234.05174864,236.45426904,224.1634004,77.90194544,55.03925736,232.66718,237.1233,225.83897,81.08304,55.885277
234.25755984,236.60539264,224.2507656,77.99649128,55.06377376,232.74197,237.2904,225.8411,81.23719,55.9356
234.46378104,236.66446992,224.29591232,78.07378576,55.11032704,232.87279,237.21669,225.89072,81.11888,55.77724
234.5608432,236.61103528,224.28206048,78.12381192,55.08937512000001,233.0109,237.0985,225.93172,81.0452,55.66533
234.6662148,236.53661368,224.25971672,78.12949352,55.07615416,233.11821,237.12308,225.97093,81.18928,55.709534
234.78423904,236.51801128,224.30684416,78.21610136,55.1604832,233.19087,237.03891,226.01949,81.231895,55.686844
234.81257544,236.42560224,224.32471768,78.22745608,55.20264152,233.25302,236.90547,226.09456,81.20588,55.639706
234.87201408,236.43485488,224.41819224,78.32627728,55.34519032,233.2955,236.9208,226.16216,81.34914,55.76019
234.92539832,236.4462748,224.47697632,78.44647064,55.46491272,233.33932,236.90536,226.26555,81.42091,55.842415
234.97282728,236.41804944,224.54421344,78.5735664,55.5491136,233.37968,236.92732,226.37083,81.55131,55.948353
235.03644592,236.44268408,224.63185336,78.72356664,55.62438144,233.42476,236.96118,226.49281,81.74049,56.068054
235.09355408,236.44590448,224.76428472,78.81946944,55.71308504,233.46489,236.98282,226.62823,81.888145,56.141685
235.09482104,236.41480936,224.85742056,78.87200383999999,55.78330448,233.49289,236.95868,226.78455,81.97832,56.1999
235.148078,236.43805776,224.9882328,78.92387544,55.89145608,233.50746,237.04282,226.92807,82.15481,56.353287
235.24008224,236.44908936,225.05550064,78.99041064,55.99611232,233.5487,237.07387,227.09068,82.24517,56.455284
235.37767008,236.5470888,225.1571652,79.06790984,56.126642,233.62206,237.09947,227.2258,82.346054,56.554974
235.4783036,236.61169248,225.2924492,79.15901824,56.20202768,233.7285,237.12079,227.36867,82.39869,56.61855
235.592306,236.6730096,225.34814968,79.20858656,56.26229848,233.83502,237.20224,227.51822,82.52706,56.698116
235.74072752,236.78096784,225.46747192,79.25617056,56.30677184,233.9395,237.24557,227.62856,82.60972,56.732124
235.87110448,236.88007816,225.59634152,79.29375895999999,56.33267463999999,234.0627,237.25642,227.74904,82.622536,56.725765
236.0983244,237.02129608,225.64012256,79.38947648,56.42990984,234.22438,237.38298,227.85542,82.74516,56.76823
236.31034728,237.12425832,225.7006436,79.45527008,56.4600708,234.41357,237.39378,227.92323,82.75513,56.77162
236.34736632,237.08469816,225.69301064,79.37566144,56.37686488,234.57018,237.32353,227.99031,82.692085,56.72337
236.39181304,237.1092572,225.63388584,79.33690216,56.31933816,234.64166,237.43513,228.02718,82.80551,56.73294
236.45808128,237.16220152,225.5525432,79.30226152,56.25121704,234.6865,237.50928,228.03468,82.83274,56.711704
236.63159800000005,237.22748672,225.55948328,79.3287596,56.233242,234.76321,237.62532,228.00073,82.8842,56.707104
236.82184368,237.16645608,225.48964984,79.36460935999999,56.13593712,234.90712,237.59123,227.95811,82.834114,56.660583
236.935018,237.06604872,225.325532,79.30008512,55.94313504,235.05121,237.4308,227.8629,82.77362,56.551
236.98538384,236.96572512,225.11744456,79.23291535999999,55.72646064,235.15192,237.35707,227.73718,82.78275,56.424686
237.08780688,236.91870848,224.95786448,79.17373128,55.56515632,235.21544,237.36868,227.60512,82.842155,56.319153
