,Scale,R2,RMSE,MAE,MAPE,Runtime,VMF
0,60.7553132,0.6821298,7.7439807,6.2736354,0.048873072,55.05181456,P1 Final
0,40.35949896,0.6835864,6.2483296,5.4797784,0.090242224,55.05181456,P2 Final
0,63.6299816,0.8167081,9.0902468,7.8640182,0.025552521,55.05181456,P3 Final
0,71.8978724,0.9049800,6.6732223,5.6316209,0.017604882,55.05181456,P4 Final
0,31.88137512,0.9419369,2.3297767,2.0032440,0.099537199,55.05181456,P5 Final
