P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
-133.13826912000002,64.3437956,-42.6883832,-58.3295776,-20.60831384,-137.6387,63.345253,-32.64938,-63.847885,-17.19483
-133.75532056,63.910168080000005,-43.29802504,-58.4341112,-21.1748872,-137.95876,63.105072,-33.025955,-63.839,-17.462227
-134.19261368,63.62641464,-43.88830048,-58.31683728,-21.47074504,-138.28267,62.924076,-33.433487,-63.793655,-17.719702
-134.45593184,63.4275248,-44.47923976,-58.1738664,-21.645152640000003,-138.61438,62.81494,-33.899254,-63.653465,-17.856743
-134.50955896,63.27073016,-45.02308016,-58.03430336,-21.79954496,-138.85869,62.747707,-34.391975,-63.552258,-17.952417
-134.64425768,62.84806112,-45.67545784,-58.30397888,-22.20580968,-138.91154,62.72347,-34.814026,-63.460373,-18.051289
-134.52776576,62.55879488,-46.02778784,-58.5060744,-22.44909016,-138.87651,62.54069,-35.274788,-63.603775,-18.256397
-133.72122704,62.84119152,-45.7468724,-58.2847072,-22.15006912,-138.6562,62.466156,-35.499577,-63.670536,-18.408321
-132.8478328,63.175824080000005,-45.50640896,-58.07539616,-21.87668728,-138.04742,62.810314,-35.25861,-63.43307,-18.345236
-132.4640392,62.99412088,-45.802132,-58.3670976,-22.0794096,-137.28302,63.237915,-35.052673,-63.18026,-18.191652
-131.70564488,63.0713228,-45.7455648,-58.28904176,-21.98600096,-136.62053,63.30903,-35.2367,-63.274445,-18.09344
-130.7515176,63.35418728,-45.395792,-57.94283288,-21.72204112,-135.75804,63.536278,-35.174625,-63.108883,-17.879896
-129.53849112,63.80962992,-44.7214708,-57.37106888,-21.3151908,-134.93614,63.860134,-34.924793,-62.789448,-17.790106
-128.78667232,63.8558636,-44.39451048,-57.21739776,-21.31343304,-134.09636,64.25672,-34.458374,-62.351692,-17.843935
-128.25212912,63.74375992,-44.27248224,-57.26138064,-21.4442948,-133.5378,64.32944,-34.271717,-62.284927,-18.012241
-128.13762744,63.32369776,-44.38001464,-57.64451272,-21.72874872,-133.03932,64.31598,-34.16113,-62.338757,-18.04842
-128.51397776,62.46228704,-44.85206904,-58.449087600000006,-22.32804096,-132.6608,64.143814,-34.125324,-62.563335,-17.968678
