P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
232.97606,233.03639,236.17506,238.3689,228.92316,227.46492,85.19156,85.10185,59.334366,59.93809,0.018509641,0.014877806,-2.3125486,-2.494269,-0.055064443,-0.07591147,0.9660562,0.9847677,0.23935223,0.31375763,-0.0042369855,-0.031476434,-1.9535923,-1.8914301,-0.15373418,-0.13759272,0.9016171,0.9853313,0.39436814,0.49449256,-0.002383448,0.023593752,-0.7659843,-0.6587371,-0.017298386,-0.009417031,-0.29432294,-0.30976614,-0.25568056,-0.24418893
232.91,233.01785,236.18835,238.36896,228.95682,227.46373,85.18599,85.093285,59.340233,59.9401,0.06101704,0.062197596,-2.3267708,-2.511271,-0.028923184,-0.057243258,1.0646002,1.0876147,0.3133624,0.39893287,0.03126994,-0.0039493595,-1.9648753,-1.9250103,-0.16885464,-0.15844259,0.88312125,0.9609697,0.3978788,0.48760074,-0.004699764,0.023544353,-0.80008966,-0.68781877,-0.006141091,-0.015876096,-0.23128292,-0.24952225,-0.22255735,-0.20769864
232.84343,233.00043,236.20789,238.36679,228.98784,227.46428,85.18059,85.08998,59.344307,59.94224,0.097545676,0.11084088,-2.334223,-2.527129,-0.0014728358,-0.031842165,1.1616681,1.196201,0.3846111,0.48284578,0.05205667,0.026277125,-1.966487,-1.9571468,-0.18905699,-0.18055877,0.859478,0.936828,0.39636293,0.47631833,0.0076861675,0.023548175,-0.82400495,-0.7169573,0.004867294,-0.012407319,-0.16556814,-0.18591854,-0.18887107,-0.17455865
232.77127,232.98488,236.21951,238.36661,229.02118,227.46608,85.171524,85.08699,59.344944,59.94459,0.1221723,0.15289582,-2.3492925,-2.5364408,0.03223054,-0.0050270157,1.2531489,1.3028342,0.4513077,0.56310016,0.044640876,0.04376932,-1.9733131,-1.9688431,-0.2066342,-0.20460777,0.82613844,0.9125332,0.3878818,0.46715987,0.014417402,0.023706935,-0.85348403,-0.7850912,0.0017564956,-0.010951043,-0.103409715,-0.14605819,-0.15730244,-0.16651885
232.69495,232.96346,236.2281,238.36206,229.05396,227.4666,85.154816,85.0818,59.33753,59.9447,0.13677368,0.18237619,-2.3671355,-2.5527456,0.06901935,0.027865417,1.3349022,1.4032973,0.5087544,0.6372578,0.0132375695,0.03772463,-1.9805806,-1.9672217,-0.22225021,-0.22013703,0.77879614,0.88718754,0.36770585,0.46370107,-0.009251016,0.023765633,-0.88339305,-0.8335994,-0.016906487,-0.012890338,-0.05032228,-0.093051545,-0.13284563,-0.14554127
232.62535,232.93724,236.23328,238.35469,229.09593,227.46765,85.13927,85.07201,59.333347,59.942062,0.15356368,0.20113942,-2.3880594,-2.571205,0.118649505,0.06364324,1.4158345,1.4929872,0.5684485,0.7004521,-0.018970005,0.011488072,-1.9885986,-1.9506859,-0.2227544,-0.22876763,0.7268427,0.8555229,0.34781584,0.45917413,-0.009803764,0.023470988,-0.91340023,-0.77546406,-0.013256864,-0.015367367,0.0030351186,0.013853141,-0.10194467,-0.0740063
232.56752,232.91278,236.24236,238.34778,229.13805,227.47179,85.12492,85.062386,59.335793,59.940407,0.17842776,0.2229454,-2.4047096,-2.5930882,0.17083845,0.11126523,1.4960127,1.5823357,0.6338396,0.7652232,-0.037445147,-0.01594722,-1.9898663,-1.9370906,-0.2180994,-0.22265212,0.6706075,0.8181067,0.3319025,0.45338398,-0.006706428,0.02347386,-0.93491834,-0.8035194,-0.009746418,-0.014341363,0.056533318,0.06893873,-0.060304567,-0.0439219
232.51985,232.89581,236.25461,238.34712,229.18605,227.4773,85.11155,85.05178,59.338795,59.941776,0.20938598,0.2534811,-2.417828,-2.61173,0.2303481,0.16073224,1.5750828,1.6710571,0.6986349,0.83603346,-0.043175783,-0.031883657,-1.9852686,-1.926861,-0.2026159,-0.21422711,0.60981965,0.77169514,0.31342524,0.44431782,0.008507444,0.023516845,-0.9485516,-0.8356085,-0.0046175644,-0.013925211,0.10908424,0.117385626,-0.015804144,-0.0097045675
232.47482,232.88264,236.25354,238.34875,229.22939,227.4868,85.093315,85.0407,59.33158,59.944515,0.23772712,0.29069647,-2.4440968,-2.6275055,0.28478724,0.2163938,1.6470548,1.7583008,0.7517806,0.9055682,-0.049911246,-0.036948517,-1.9919171,-1.9215631,-0.18981823,-0.19781446,0.5384169,0.7150001,0.2809965,0.42526156,0.0029204863,0.02368497,-0.9718977,-0.9006512,-0.016081866,-0.014686966,0.153518,0.14179613,0.018451301,0.0066658263
232.42879,232.86308,236.25578,238.34293,229.2743,227.49535,85.07314,85.02853,59.321598,59.94215,0.25882784,0.3246923,-2.4667275,-2.6545382,0.3394438,0.26660037,1.7148011,1.8374674,0.8007574,0.96264434,-0.06572673,-0.042862922,-1.9926887,-1.9270048,-0.17334889,-0.1836097,0.4595841,0.6474795,0.2423631,0.39275336,-0.005557741,0.0236009,-0.98614985,-0.8995398,-0.003233598,-0.01751341,0.19260876,0.20264521,0.05065943,0.052578975
