P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
-134.58572,-134.52527,65.6264,65.48442,-43.921543,-27.897535,-59.38398,-58.936512,-20.21747,-13.87679,1.9630117,2.0464013,-1.4285196,-1.32944,0.3977097,0.5288958,0.60240996,0.37359723,-2.1929276,-2.255954,-0.9303648,-0.76712614,-0.0161316,-0.029385248,0.2597696,0.021297071,-0.030895935,0.0125862975,1.6855072,1.5688031,0.4149377,0.3862702,0.16213562,0.25120956,0.57561123,0.6559384,0.48295215,0.56671375,0.116768755,0.3169998
-134.52518,-134.50154,65.460144,65.46172,-43.96677,-27.910114,-59.37455,-58.937073,-20.304325,-13.885847,1.9460773,1.9874773,-1.4172612,-1.3381673,0.24867216,0.376896,0.83008903,0.59962016,-2.2160668,-2.3029625,-1.2853962,-1.0270101,-0.09842428,-0.070903495,0.08261835,-0.004322861,-0.23098007,-0.016334647,1.4845208,1.496975,0.10913477,0.24404508,-0.034211207,0.0926911,0.33746645,0.5044153,0.34128448,0.45698565,-0.13904293,0.10220312
-134.45654,-134.46907,65.295845,65.45651,-44.00552,-27.896801,-59.352695,-58.92194,-20.353224,-13.884649,1.9515865,1.9695761,-1.414595,-1.3297652,0.074023075,0.2229457,1.0350472,0.8245641,-2.193011,-2.3196056,-1.5889676,-1.2171359,-0.17773223,-0.0992393,-0.028575191,-0.025567245,-0.17709033,-0.03736195,1.2985455,1.3959349,-0.098538145,0.03527801,-0.07700889,-0.059604757,0.071700454,0.32789,0.17795154,0.32668877,-0.22286746,-0.10298727
-134.3936,-134.4307,65.12657,65.452515,-44.044376,-27.873552,-59.343388,-58.89945,-20.390827,-13.877717,1.9689634,1.9740463,-1.4277232,-1.3272462,-0.12572601,0.044168018,1.1876433,1.0215396,-2.1507533,-2.292927,-1.8361311,-1.4059894,-0.25303036,-0.16333467,-0.09950678,-0.031916104,0.0031968083,-0.038942758,1.1061434,1.2742183,-0.19525456,-0.09112112,-0.018292043,-0.09921065,-0.20960686,0.09807202,-0.02139558,0.1745233,-0.20988327,-0.15835503
-134.32117,-134.39253,64.96843,65.444565,-44.069595,-27.852419,-59.31929,-58.880592,-20.41859,-13.872239,2.0173337,1.989723,-1.4389386,-1.3351674,-0.32727614,-0.1555515,1.315531,1.1618712,-2.0911775,-2.2458365,-1.9910743,-1.5726929,-0.29459837,-0.24132666,-0.15777954,-0.030422285,0.17160925,-0.030543106,0.91045403,1.1194707,-0.214602,-0.14332938,0.035810437,-0.073475264,-0.4684867,-0.14756188,-0.20212322,-0.0020348858,-0.20020072,-0.15637432
-134.28905,-134.35197,64.77528,65.441635,-44.116837,-27.823187,-59.34058,-58.856937,-20.486647,-13.862868,2.0475664,2.0369444,-1.4951422,-1.341792,-0.55941844,-0.35021865,1.3544816,1.275383,-2.0655234,-2.1831536,-2.0963113,-1.673026,-0.34572354,-0.28764558,-0.27573773,-0.028455546,0.09583525,-0.02228137,0.66320837,0.942649,-0.30658552,-0.15300016,-0.08627885,-0.04512924,-0.7234742,-0.34330168,-0.4137374,-0.13902389,-0.3169869,-0.15423983
-134.24554,-134.3236,64.598694,65.42077,-44.1342,-27.823397,-59.347095,-58.857185,-20.52915,-13.867296,2.1195061,2.0643492,-1.5371842,-1.3779464,-0.75358754,-0.56072456,1.3744214,1.3002106,-2.0048852,-2.1462317,-2.0679255,-1.6644276,-0.32358602,-0.29587772,-0.25600892,-0.03992587,0.008166788,-0.033181623,0.45023337,0.7597462,-0.33368003,-0.17518389,-0.1788732,-0.10575459,-0.88411844,-0.44449225,-0.5414386,-0.23641206,-0.36505535,-0.19800432
-134.10959,-134.2908,64.50517,65.40625,-44.059753,-27.810534,-59.294834,-58.84576,-20.480799,-13.865988,2.3218358,2.1344774,-1.4909915,-1.404591,-0.834454,-0.7265919,1.4280056,1.3095635,-1.8417836,-2.0804121,-1.8014939,-1.6325338,-0.13873127,-0.26944497,0.009522791,-0.041628726,0.085709624,-0.038449097,0.3518284,0.56039834,-0.13213697,-0.17015788,-0.034254335,-0.14034638,-0.86214936,-0.49549046,-0.5036372,-0.2780561,-0.17946912,-0.20715733
-133.96773,-134.22826,64.433235,65.4277,-43.973003,-27.730015,-59.22974,-58.795742,-20.43627,-13.836639,2.5590196,2.3396304,-1.4237425,-1.3744256,-0.89052504,-0.7985908,1.4639224,1.358672,-1.6757215,-1.9290193,-1.4307336,-1.5987453,0.10806364,-0.16842403,0.12680562,-0.018517816,0.06804492,-0.021152599,0.25625452,0.31856155,-0.0084147705,-0.090328544,0.058097437,-0.05596276,-0.7696863,-0.5459814,-0.37762517,-0.29222065,-0.020893728,-0.13157792
-133.91385,-134.16434,64.29684,65.45662,-43.95091,-27.644627,-59.229187,-58.7379,-20.47928,-13.805874,2.7275722,2.581179,-1.4285307,-1.3290573,-1.0074012,-0.8500781,1.3985254,1.3933122,-1.5943211,-1.7729356,-1.1029195,-1.4106308,0.28003067,0.052717786,-0.12565285,-0.009533831,-0.24911861,-0.016550314,0.06635615,0.13319768,-0.17493096,-0.024619017,-0.15421896,0.0070432248,-0.71815044,-0.54903144,-0.28737494,-0.25067663,-0.072149105,-0.039143443
-133.80864,-134.1315,64.208824,65.45146,-43.87067,-27.622025,-59.176537,-58.723053,-20.473501,-13.801599,2.972998,2.7490244,-1.3850259,-1.3312442,-1.0498903,-0.94247717,1.3617634,1.3289387,-1.4575368,-1.6886334,-0.67369545,-1.0038038,0.49348518,0.28211862,-0.25544462,-0.04008081,-0.37438038,-0.047727726,-0.061619,0.12179754,-0.19616084,-0.09094662,-0.24590153,-0.10477651,-0.5696372,-0.4657972,-0.09982787,-0.16362971,0.006992327,-0.059184585
