P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
232.98848768,231.14442192,228.69671096,86.76089576,59.7106768,233.5815595117,232.54967990000003,226.77535225,88.01539898,60.311832370000005
232.99707424,231.09529336,228.75323704,86.90512639999999,59.83031976,233.6460729725,232.4686089,226.774595666,88.1431598,60.43068023000001
233.00129816,231.08436112,228.80185888,87.03458495999999,59.933024640000006,233.71658216,232.38819650000002,226.784727608,88.28909541000002,60.545040140000005
232.95196448,231.04278344,228.84887992,87.15312808,60.03405872,233.76778221300003,232.3054261,226.79495867900002,88.3935521,60.61881896
232.8362436,230.997408,228.88347368,87.21315168,60.077106,233.77754857300002,232.2414174,226.81648166200003,88.506689,60.703589730000004
232.74960272,230.94365672,228.9789032,87.28636383999999,60.14637,233.750668728,232.27347669999997,226.84508685299997,88.680837287,60.844813635
232.70233528,230.91165736,229.08071688,87.34498152,60.2381584,233.728969101,232.2294989,226.90384299,88.77691521999999,60.928791872999994
232.69404376,230.9048344,229.209528,87.41041320000001,60.34337096,233.734992487,232.18813323,226.96893924500003,88.85378412,61.022119673000006
232.6661348,230.84427128,229.30793208,87.43014472,60.37627424,233.762728306,232.12031106,227.051084071,88.88583047,61.079573823000004
232.61581768,230.81088568,229.43751504,87.44177336000001,60.42141128,233.779886973,232.07829965,227.121245491,88.95256914999999,61.15148118
232.58437896,230.79638888,229.58380096,87.42358392,60.41590352,233.78014593400002,232.05604979999998,227.19961391700002,89.00110131999999,61.21099804000001
232.51434128,230.77361128,229.67720912,87.40319912000001,60.43753031999999,233.771230277,231.98585006000002,227.277460674,88.96627391,61.19043249
232.49408544,230.73317584,229.74520464,87.33088359999999,60.45758480000001,233.757466497,232.01613369999998,227.329845173,89.01408825,61.26785928
232.45207432,230.69719944,229.77715912,87.2218408,60.4699652,233.742720783,231.92721310000002,227.374127081,88.91009483,61.24690961
232.39801872,230.63416728,229.78827544,87.09283144000001,60.43434784,233.722896302,231.8994782,227.406805506,88.82470287000001,61.26132424
232.43189336,230.70163256,229.8614556,87.00820567999999,60.46004576,233.712877891,231.94714850000003,227.42789297500002,88.81583855,61.32557188999999
232.489558,230.87248912,230.00346704,87.04107583999999,60.62380152,233.74264851300003,231.93003855,227.468273174,88.70440643999999,61.3185898208
232.4973848,231.02465008,230.13800832,87.06342464,60.73772416,233.797170507,231.96385590000003,227.539094019,88.64335578,61.375065410000005
