P1_VMF0,Predict-P1_VMF0,P2_VMF0,Predict-P2_VMF0,P3_VMF0,Predict-P3_VMF0,P4_VMF0,Predict-P4_VMF0,P5_VMF0,Predict-P5_VMF0,P1_VMF1,Predict-P1_VMF1,P2_VMF1,Predict-P2_VMF1,P3_VMF1,Predict-P3_VMF1,P4_VMF1,Predict-P4_VMF1,P5_VMF1,Predict-P5_VMF1,P1_VMF2,Predict-P1_VMF2,P2_VMF2,Predict-P2_VMF2,P3_VMF2,Predict-P3_VMF2,P4_VMF2,Predict-P4_VMF2,P5_VMF2,Predict-P5_VMF2,P1_VMF3,Predict-P1_VMF3,P2_VMF3,Predict-P2_VMF3,P3_VMF3,Predict-P3_VMF3,P4_VMF3,Predict-P4_VMF3,P5_VMF3,Predict-P5_VMF3
232.97606,233.59392,236.17506,237.6371,228.92316,227.00827,85.19156,86.3742,59.334366,59.719864,0.018509641,-0.0040823203,-2.3125486,-2.5117161,-0.055064443,-0.08413668,0.9660562,0.9466107,0.23935223,0.3103895,-0.0042369855,-0.031876057,-1.9535923,-1.8968507,-0.15373418,-0.13082929,0.9016171,0.97403455,0.39436814,0.5038812,-0.002383448,0.023597889,-0.7659843,-0.6788533,-0.017298386,-0.01795178,-0.29432294,-0.27944627,-0.25568056,-0.22230233
232.91,233.58177,236.18835,237.63536,228.95682,227.00877,85.18599,86.36544,59.340233,59.720215,0.06101704,0.044719264,-2.3267708,-2.5304887,-0.028923184,-0.06431983,1.0646002,1.049976,0.3133624,0.3981816,0.03126994,-0.0039196475,-1.9648753,-1.9292629,-0.16885464,-0.14958091,0.88312125,0.9501259,0.3978788,0.5003103,-0.004699764,0.023503356,-0.80008966,-0.7069995,-0.006141091,-0.020273594,-0.23128292,-0.2223821,-0.22255735,-0.18802667
232.84343,233.57085,236.20789,237.63327,228.98784,227.01056,85.18059,86.36038,59.344307,59.720764,0.097545676,0.09521332,-2.334223,-2.548389,-0.0014728358,-0.037292946,1.1616681,1.1590182,0.3846111,0.48495215,0.05205667,0.02700216,-1.966487,-1.9602233,-0.18905699,-0.16935232,0.859478,0.926675,0.39636293,0.4926048,0.0076861675,0.02351668,-0.82400495,-0.7364612,0.004867294,-0.019187126,-0.16556814,-0.15697779,-0.18887107,-0.15328081
232.77127,233.5602,236.21951,237.63147,229.02118,227.01273,85.171524,86.35537,59.344944,59.72133,0.1221723,0.13909738,-2.3492925,-2.5597334,0.03223054,-0.008801926,1.2531489,1.2662565,0.4513077,0.5679386,0.044640876,0.044928435,-1.9733131,-1.9710306,-0.2066342,-0.19060452,0.82613844,0.9016306,0.3878818,0.48486388,0.014417402,0.023556398,-0.85348403,-0.7952799,0.0017564956,-0.018364875,-0.103409715,-0.129705,-0.15730244,-0.15531352
232.69495,233.54524,236.2281,237.62639,229.05396,227.01338,85.154816,86.34972,59.33753,59.720097,0.13677368,0.17015207,-2.3671355,-2.5779397,0.06901935,0.02620274,1.3349022,1.3672711,0.5087544,0.6446175,0.0132375695,0.03862068,-1.9805806,-1.9684571,-0.22225021,-0.20419389,0.77879614,0.8739557,0.36770585,0.47925356,-0.009251016,0.023535823,-0.88339305,-0.8385758,-0.016906487,-0.018907188,-0.05032228,-0.0842578,-0.13284563,-0.14037833
232.62535,233.52544,236.23328,237.61781,229.09593,227.01285,85.13927,86.341774,59.333347,59.716312,0.15356368,0.19014587,-2.3880594,-2.598191,0.118649505,0.06436601,1.4158345,1.4572968,0.5684485,0.709819,-0.018970005,0.011678895,-1.9885986,-1.9508978,-0.2227544,-0.21154734,0.7268427,0.83839136,0.34781584,0.46914595,-0.009803764,0.023403963,-0.91340023,-0.7952445,-0.013256864,-0.020581817,0.0030351186,0.043375127,-0.10194467,-0.050463315
232.56752,233.50803,236.24236,237.61087,229.13805,227.01451,85.12492,86.33377,59.335793,59.713375,0.17842776,0.21374157,-2.4047096,-2.622241,0.17083845,0.115523584,1.4960127,1.546354,0.6338396,0.7768434,-0.037445147,-0.016199436,-1.9898663,-1.9368298,-0.2180994,-0.20589462,0.6706075,0.7980954,0.3319025,0.4582897,-0.006706428,0.023396967,-0.93491834,-0.8223003,-0.009746418,-0.020295974,0.056533318,0.09869582,-0.060304567,-0.019716227
232.51985,233.49718,236.25461,237.60924,229.18605,227.01831,85.11155,86.32445,59.338795,59.71305,0.20938598,0.24669075,-2.417828,-2.6432433,0.2303481,0.16904801,1.5750828,1.6348525,0.6986349,0.8502619,-0.043175783,-0.03227385,-1.9852686,-1.9265466,-0.2026159,-0.19828494,0.60981965,0.750213,0.31342524,0.4463036,0.008507444,0.023395587,-0.9485516,-0.85131687,-0.0046175644,-0.020133825,0.10908424,0.14426862,-0.015804144,0.012504173
232.47482,233.48956,236.25354,237.60974,229.22939,227.0251,85.093315,86.31497,59.33158,59.713512,0.23772712,0.28712174,-2.4440968,-2.661601,0.28478724,0.22960553,1.6470548,1.7219274,0.7517806,0.92262775,-0.049911246,-0.037377037,-1.9919171,-1.9218194,-0.18981823,-0.18361285,0.5384169,0.6934474,0.2809965,0.42604887,0.0029204863,0.023423603,-0.9718977,-0.90600854,-0.016081866,-0.020008609,0.153518,0.15548567,0.018451301,0.017385203
232.42879,233.4757,236.25578,237.60394,229.2743,227.02884,85.07314,86.30617,59.321598,59.710117,0.25882784,0.32415915,-2.4667275,-2.691155,0.3394438,0.28449214,1.7148011,1.8009068,0.8007574,0.9818627,-0.06572673,-0.04332692,-1.9926887,-1.9270544,-0.17334889,-0.17084292,0.4595841,0.6249913,0.2423631,0.39132443,-0.005557741,0.023354743,-0.98614985,-0.90743095,-0.003233598,-0.021243729,0.19260876,0.22050105,0.05065943,0.06817705
232.38536,233.46103,236.26102,237.59775,229.3185,227.03333,85.05071,86.29661,59.305706,59.70624,0.27616403,0.35298347,-2.4859438,-2.7168877,0.39045084,0.33924586,1.7779945,1.8749577,0.8424857,1.0357563,-0.085341826,-0.057237223,-1.9877721,-1.92158,-0.15677775,-0.15306155,0.37335423,0.5501274,0.1946959,0.3526017,0.0076271086,0.023369687,-0.99064213,-0.9032325,0.031984854,-0.019900393,0.22608216,0.27940622,0.078444906,0.11640004
232.3447,233.445,236.26141,237.59013,229.3539,227.03836,85.02706,86.286835,59.29245,59.701115,0.28962225,0.37718442,-2.5096939,-2.7387369,0.428232,0.3899248,1.837645,1.9435912,0.8856889,1.0813437,-0.105591014,-0.07446394,-1.9853623,-1.9084926,-0.1494731,-0.13427661,0.28112268,0.46725821,0.14726938,0.3053652,-0.013867135,0.023509797,-0.99351454,-0.95705044,0.044218533,-0.016547516,0.25509715,0.2685895,0.1125448,0.10260859
232.30725,233.43013,236.25584,237.58337,229.38866,227.04109,84.99521,86.27634,59.279804,59.696465,0.29936397,0.3959248,-2.539105,-2.764157,0.46040827,0.427344,1.8866782,2.0086892,0.9283823,1.128744,-0.122101046,-0.0920879,-1.9866155,-1.8951389,-0.14027622,-0.12351217,0.1760555,0.37836775,0.09837884,0.25953785,0.009023155,0.023499597,-0.99526054,-0.9079404,0.036750786,-0.015076657,0.2723592,0.3506913,0.15159458,0.18311243
232.27083,233.41563,236.24692,237.5778,229.42036,227.04312,84.95513,86.26155,59.262512,59.69176,0.3028064,0.41001073,-2.5714638,-2.7946298,0.48387888,0.4590392,1.9251378,2.0626872,0.96524966,1.1752918,-0.13298018,-0.10642944,-1.9886467,-1.8880774,-0.12927967,-0.11166031,0.058978766,0.2744402,0.04285659,0.21056189,0.011962273,0.023509493,-0.99177223,-0.9678797,0.0018462541,-0.016371809,0.27924043,0.31141743,0.19010693,0.16929592
232.24057,233.39914,236.2296,237.5711,229.44809,227.04402,84.91228,86.243576,59.237892,59.68571,0.30527857,0.41624662,-2.6116314,-2.8269436,0.49722108,0.48210824,1.958944,2.1053011,0.9937353,1.2151954,-0.1263733,-0.115874656,-1.9960206,-1.8861269,-0.11436839,-0.09911146,-0.06275146,0.15480472,-0.021395402,0.15228243,-0.022003906,0.023384338,-0.98604625,-0.9585513,-0.04231756,-0.020211274,0.28480294,0.32102105,0.22659792,0.20813641
232.22191,233.37947,236.23813,237.56055,229.47957,227.04326,84.88064,86.22653,59.22606,59.67724,0.312063,0.42052978,-2.6248014,-2.8652084,0.5084813,0.4951991,2.0026457,2.1426065,1.0345026,1.2462738,-0.0939206,-0.110272534,-1.9728779,-1.9024346,-0.082756825,-0.08607271,-0.17273267,0.02228268,-0.07255121,0.07808932,-0.007664493,0.023150645,-0.9387205,-0.8457585,-0.04416907,-0.024493415,0.3077498,0.42441937,0.2857107,0.32396877
232.21031,233.37253,236.26749,237.56073,229.51796,227.04916,84.86919,86.21049,59.23699,59.674683,0.3171333,0.4294552,-2.616056,-2.8796031,0.5206626,0.5066288,2.0655334,2.190603,1.0976963,1.2907059,-0.04799816,-0.08249629,-1.9244888,-1.9106197,-0.028819548,-0.062287286,-0.26052344,-0.10923638,-0.09993786,0.0059924508,0.009527086,0.023159603,-0.85529804,-0.84046865,-0.0060203723,-0.02522834,0.35925,0.41254982,0.3780717,0.34720847
232.19315,233.38026,236.28944,237.57304,229.55774,227.06114,84.859665,86.19854,59.24347,59.67998,0.30554318,0.43659797,-2.614138,-2.8751974,0.52737,0.5195382,2.1289012,2.259441,1.1554892,1.35873,-0.01483145,-0.042993136,-1.8807093,-1.908045,0.040350955,-0.019550154,-0.34523576,-0.2248386,-0.13222997,-0.04930443,0.014021607,0.023305673,-0.7687404,-0.8259417,0.01218911,-0.022034027,0.4177851,0.41021338,0.4694174,0.38565984
232.16628,233.38322,236.30547,237.58054,229.60234,227.0715,84.84956,86.18942,59.243534,59.68321,0.27191356,0.4245361,-2.6177375,-2.8755682,0.5314247,0.5273478,2.1900506,2.3280551,1.2056643,1.419756,-0.0033658321,-0.01456872,-1.8406906,-1.90478,0.12601106,0.04140623,-0.42963213,-0.3363742,-0.17191365,-0.10759828,0.011277419,0.023350656,-0.6796359,-0.7636934,-0.00075512787,-0.020756884,0.4784781,0.452454,0.5533715,0.45082012
232.13933,233.37985,236.31573,237.58258,229.64659,227.08067,84.84269,86.18204,59.24314,59.683826,0.22645596,0.3872829,-2.6267292,-2.8793728,0.5266031,0.53279585,2.2527525,2.393398,1.2541974,1.4710772,0.0049441108,-0.005266265,-1.8044506,-1.8941221,0.21773835,0.12377415,-0.5095868,-0.44321087,-0.21276692,-0.16828626,-0.025680484,0.023268346,-0.588589,-0.66268265,-0.026820207,-0.02262198,0.5438673,0.5227697,0.6340208,0.5245876
232.12602,233.37506,236.3387,237.58255,229.68764,227.08876,84.845604,86.17707,59.249565,59.68376,0.18368314,0.3356961,-2.62242,-2.8869636,0.50916123,0.529906,2.3235493,2.4597638,1.3084286,1.5199399,0.034208134,0.0012457452,-1.7530934,-1.8863252,0.30725282,0.21318983,-0.5782242,-0.54579794,-0.24716754,-0.2303737,-0.016077315,0.023066588,-0.4764115,-0.45684722,-0.018788839,-0.02535929,0.6190176,0.67283195,0.7168868,0.6386263
232.11635,233.37846,236.36238,237.58826,229.7343,227.1,84.855896,86.17468,59.258873,59.686947,0.13188961,0.285825,-2.617161,-2.8821838,0.4879576,0.5151044,2.3996484,2.5340571,1.3641889,1.5748705,0.06870281,0.0264748,-1.6996379,-1.8775984,0.39993006,0.2959709,-0.6388148,-0.64484245,-0.27949005,-0.2942542,0.015627578,0.023079988,-0.35833848,-0.36854473,0.05020695,-0.025263816,0.69725734,0.71801734,0.79367507,0.67708254
232.0936,233.38376,236.35887,237.59456,229.77722,227.1131,84.84702,86.17549,59.258373,59.690987,0.05209792,0.22506787,-2.639172,-2.8759406,0.4526596,0.49676582,2.4536917,2.6129506,1.4083704,1.6303997,0.080543354,0.05634026,-1.6732619,-1.8710805,0.4790752,0.37826088,-0.7201158,-0.738585,-0.32336593,-0.35917437,0.0372288,0.023355667,-0.26656896,-0.3571233,0.082432255,-0.019039914,0.7448342,0.70728993,0.84580845,0.6777994
232.04837,233.37746,236.34004,237.59262,229.8132,227.11911,84.82019,86.17053,59.243214,59.689896,-0.06566522,0.1307512,-2.676471,-2.892457,0.3997767,0.4644987,2.4868076,2.668578,1.4359429,1.6721879,0.06155144,0.066259004,-1.6615859,-1.8725387,0.53609663,0.44690722,-0.82074356,-0.84364736,-0.38388562,-0.4252821,-0.008922656,0.023488121,-0.18784562,-0.33186015,0.018944327,-0.016418217,0.7612811,0.6958951,0.8652951,0.67881924
231.99837,233.35735,236.33325,237.58098,229.84998,227.11815,84.79723,86.160904,59.222603,59.683006,-0.20074052,-0.009126252,-2.7010102,-2.9197042,0.3376273,0.41472068,2.5214598,2.7017872,1.4564127,1.694945,0.052684087,0.048975207,-1.6354433,-1.8621589,0.57698274,0.49604192,-0.9164764,-0.95307684,-0.45083654,-0.4924608,-0.0152272275,0.023160426,-0.090040036,-0.08988846,-0.0680193,-0.02262174,0.7719085,0.81699204,0.86271733,0.7484948
231.96373,233.33574,236.34311,237.56775,229.88568,227.11873,84.78662,86.15377,59.20817,59.67544,-0.3290625,-0.16994888,-2.707928,-2.933622,0.26475593,0.3553349,2.566507,2.7352543,1.4817739,1.709579,0.09751185,0.04063155,-1.589502,-1.841129,0.59732956,0.52841556,-0.9971904,-1.0586013,-0.5112997,-0.56729794,-0.011738455,0.02282615,0.033189643,0.0594133,-0.0924068,-0.0320661,0.7871956,0.85041,0.85253644,0.759875
231.9471,233.323,236.36899,237.56047,229.91782,227.12383,84.79111,86.15035,59.203987,59.6713,-0.4461444,-0.32350546,-2.6978467,-2.9316108,0.17913623,0.28442255,2.6246572,2.7785382,1.5162653,1.7296172,0.1983057,0.08019848,-1.5244446,-1.833729,0.592817,0.53894204,-1.059849,-1.1672146,-0.56051445,-0.65346724,-0.011924959,0.02273592,0.18041708,0.18670069,-0.024352271,-0.03499296,0.8088718,0.85923785,0.83978677,0.753831
231.93802,233.32133,236.41772,237.5608,229.95338,227.13315,84.79636,86.15123,59.20513,59.671646,-0.56281245,-0.46444178,-2.6640556,-2.914652,0.08880771,0.19948423,2.6809642,2.8343256,1.55477,1.7594345,0.3181215,0.16501464,-1.4340574,-1.8413033,0.5710512,0.5252735,-1.1203676,-1.2764297,-0.6037001,-0.7465182,0.025170708,0.022969058,0.35558772,0.321017,0.08987221,-0.027933601,0.8174483,0.86547434,0.8173733,0.74339277
231.91391,233.328,236.4483,237.56938,229.98293,227.14816,84.78113,86.149124,59.194042,59.675655,-0.7028462,-0.6042198,-2.6484332,-2.876715,-0.015236397,0.1085073,2.7134655,2.8876925,1.5792884,1.7926006,0.39582387,0.25378275,-1.3619756,-1.8327538,0.5214995,0.49519756,-1.2018896,-1.3877826,-0.65936184,-0.83783156,-0.002335201,0.023438457,0.50914454,0.38233757,0.11810677,-0.016529186,0.78610516,0.7815602,0.7637388,0.6777393
231.87251,233.32332,236.4488,237.57039,230.01369,227.15683,84.75135,86.14051,59.171738,59.67465,-0.86727786,-0.7689009,-2.6632078,-2.8533304,-0.124283224,0.0019035001,2.7280898,2.9167414,1.5908239,1.8103545,0.4065629,0.30237684,-1.3212459,-1.8062707,0.4543512,0.44412497,-1.2980397,-1.4958507,-0.7262882,-0.91704696,0.023579085,0.023492247,0.62482053,0.58616453,0.037907675,-0.013037374,0.7208648,0.8033805,0.6801117,0.6771829
231.81816,233.30476,236.44647,237.56033,230.04286,227.15839,84.711975,86.12943,59.143116,59.667713,-1.0480973,-0.95668036,-2.6807168,-2.8558266,-0.23999575,-0.111117974,2.7301905,2.9275503,1.5945532,1.813721,0.35348874,0.307738,-1.2835474,-1.7594674,0.36927179,0.38199535,-1.4021598,-1.5844941,-0.7985401,-0.9737686,-0.0049221586,0.023280518,0.7320665,0.6538429,-0.08486896,-0.022006556,0.63007635,0.70661527,0.57502854,0.5947829
231.77481,233.28038,236.45268,237.5468,230.07292,227.15749,84.68267,86.11523,59.12348,59.65861,-1.2156726,-1.1566719,-2.6893096,-2.8597689,-0.35838795,-0.23193069,2.7401469,2.9255621,1.6063216,1.8082596,0.27791828,0.27469027,-1.2366799,-1.6653603,0.2726328,0.30848357,-1.4918387,-1.648649,-0.8590871,-1.0041958,-0.029268688,0.022822581,0.84402764,0.8076705,-0.13040656,-0.034601092,0.5394784,0.7094902,0.46999517,0.5798419
231.75145,233.26369,236.47421,237.53885,230.10542,227.1597,84.67084,86.10357,59.12723,59.652893,-1.3566747,-1.3366088,-2.6820798,-2.8566558,-0.4765414,-0.35620013,2.7657008,2.9313,1.6408573,1.8111138,0.19966282,0.22300617,-1.1736307,-1.5427195,0.1696849,0.22523348,-1.5581555,-1.6858284,-0.89241153,-1.0113842,-0.010047257,0.022645133,0.9673945,0.9225792,-0.05197507,-0.038945172,0.45995346,0.68711346,0.38359314,0.54722965
231.74084,233.26402,236.50218,237.54463,230.13217,227.16785,84.66759,86.09427,59.13664,59.655125,-1.476897,-1.4845694,-2.6682017,-2.841933,-0.60172087,-0.48057932,2.7976456,2.9531279,1.6799128,1.8368357,0.105666585,0.1641888,-1.1042463,-1.3993713,0.054520376,0.13620946,-1.6106083,-1.6976043,-0.9174184,-0.9911729,0.013081566,0.022991516,1.0897478,0.9715438,0.06519787,-0.030523282,0.38140026,0.5523375,0.29468054,0.434416
