,Actual-P1,Actual-P2,Actual-P3,Actual-P4,Actual-P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
0,82.69408320000002,4.58565536,-109.66813744000001,41.24654816,73.20819576,90.73355865478516,7.18532133102417,-113.34021759033203,46.073028564453125,60.89929962158203
1,83.22097816,5.05442048,-109.18740423999999,41.65943904,73.64355687999999,91.1055679321289,7.767580986022949,-112.96736907958984,46.34023666381836,61.20468521118164
2,83.51534632,5.276188080000001,-108.95239688,41.799792,73.83564584,91.62186431884766,8.57174015045166,-112.45367431640625,46.71036148071289,61.62870407104492
3,83.96178936,5.681735840000002,-108.54754936,42.1148268,74.30061896000001,91.86241149902344,8.94538688659668,-112.21533203125,46.882816314697266,61.826358795166016
4,84.03997536000001,5.742824240000001,-108.43802751999999,42.07516952,74.34785624,92.33985900878906,9.683806419372559,-111.74539947509766,47.224090576171875,62.21843338012695
5,84.2904836,5.919324080000001,-108.14470472,42.22437848,74.49422264,92.39847564697266,9.774081230163574,-111.68777465820312,47.265628814697266,62.26677703857422
6,84.41945496,5.933300880000002,-108.011558,42.23691464,74.57395224,92.65052795410156,10.16279125213623,-111.44062042236328,47.44632339477539,62.47461700439453
7,84.68830864,6.12433376,-107.7669264,42.43654024000001,74.74108632,92.74092864990234,10.302510261535645,-111.35204315185547,47.51114273071289,62.549156188964844
8,84.90827608,6.36352336,-107.484352,42.71128184,74.8684436,93.0093994140625,10.71575927734375,-111.0903091430664,47.70319747924805,62.770469665527344
9,85.07891104000001,6.64122504,-107.16032952,43.02159104,75.09676544,93.31536865234375,11.18494701385498,-110.79438781738281,47.92160415649414,63.023006439208984
10,85.3244052,6.978102000000001,-106.78867264,43.4285944,75.39712408,93.68009185791016,11.742557525634766,-110.443359375,48.18233108520508,63.3246955871582
11,85.3969016,7.199302880000001,-106.54284943999998,43.68182912,75.54930072,94.14688873291016,12.452396392822266,-109.9971923828125,48.51512908935547,63.71075439453125
12,85.30819831999999,7.33620752,-106.42351584,43.79362624,75.61713832000001,94.42872619628906,12.879508972167969,-109.73004150390625,48.71636199951172,63.944183349609375
13,85.48442552,7.640661199999999,-106.14224871999998,44.0824176,75.78985712,94.5482406616211,13.059261322021484,-109.61805725097656,48.801273345947266,64.04386138916016
14,85.62184687999999,7.88433064,-105.92635400000002,44.31666376,75.98990408,94.90485382080078,13.596287727355957,-109.28309631347656,49.054466247558594,64.33919525146484
15,85.64099104,7.95670144,-105.84058080000001,44.43001176,76.12905584,95.20782470703125,14.050336837768555,-109.00043487548828,49.27071762084961,64.59066772460938
16,85.66171544000001,8.01493896,-105.72854823999998,44.59040952,76.24588743999999,95.34349822998047,14.25108814239502,-108.87572479248047,49.36552047729492,64.70249938964844
17,85.91912248,8.284774880000002,-105.37807256,45.017896,76.65854632,95.49586486816406,14.478261947631836,-108.73552703857422,49.47438049316406,64.8291244506836
18,86.03718495999999,8.40569128,-105.15385256,45.27306336,76.90220712,96.02120971679688,15.257168769836426,-108.25493621826172,49.847415924072266,65.265380859375
19,85.90125704,8.2883956,-105.12648136,45.2506284,76.9198116,96.32709503173828,15.70920181274414,-107.97740936279297,50.06431198120117,65.52005004882812
20,85.93900767999999,8.325873760000002,-104.96720327999999,45.35520968,77.08748288,96.28321838378906,15.643017768859863,-108.01737976074219,50.032432556152344,65.48381805419922
21,86.20358624,8.51260288,-104.67443712,45.67570184,77.44900064000001,96.4521255493164,15.892646789550781,-107.86487579345703,50.15288162231445,65.62471771240234
22,86.27693208000002,8.51726776,-104.56902280000001,45.779757200000006,77.63786879999999,96.89311981201172,16.538082122802734,-107.47015380859375,50.465396881103516,65.99209594726562
23,86.36589760000001,8.59292792,-104.38769528,45.88536456,77.87369968,97.04889678955078,16.762514114379883,-107.3338394165039,50.574668884277344,66.1207275390625
24,86.43540911999999,8.633119520000001,-104.17819368000002,45.97042984,78.07760223999999,97.26900482177734,17.082292556762695,-107.1392593383789,50.72996139526367,66.30460357666016
25,86.65125096,8.84533192,-103.82539584,46.24438128,78.39866056,97.47232818603516,17.375320434570312,-106.96129608154297,50.873291015625,66.47384643554688
26,86.80273352,9.06460096,-103.52737839999999,46.61676432000001,78.68104408,97.9163589477539,18.01389503479004,-106.57616424560547,51.186885833740234,66.84461975097656
27,86.86982392,9.29024288,-103.24510671999998,46.90080096,78.92693152,98.3569107055664,18.64415168762207,-106.19795227050781,51.498130798339844,67.21451568603516
28,86.78444768,9.458154560000002,-103.03242303999998,47.105044480000004,79.09671176,98.73584747314453,19.18136978149414,-105.87742614746094,51.76563262939453,67.53284454345703
29,86.57131872,9.5708436,-102.90594416000002,47.24832752,79.18033624,98.98622131347656,19.532934188842773,-105.66753387451172,51.94178009033203,67.74333190917969
30,86.12590784,9.45807656,-103.02877239999998,47.23602656,79.0606936,99.11138916015625,19.709836959838867,-105.56355285644531,52.029964447021484,67.84932708740234
31,85.83134568,9.42696192,-103.06476344,47.3473644,79.0726836,98.90474700927734,19.418977737426758,-105.73625946044922,51.88392639160156,67.67587280273438
32,85.75847776,9.612938800000002,-102.91706272,47.68290160000001,79.26271272,98.87210845947266,19.377159118652344,-105.7620849609375,51.862815856933594,67.65072631835938
33,85.92721144,10.036992000000001,-102.58413872,48.25015479999999,79.64537808,99.1616439819336,19.781997680664062,-105.52197265625,52.066314697265625,67.89359283447266
34,85.94810136000001,10.29103616,-102.40207728,48.67087512,79.93386496,99.78910064697266,20.65357780456543,-105.00785064697266,52.507850646972656,68.42143249511719
