,Scale,R2,RMSE,MAE,MAPE,Runtime,VMF
0,34.361,0.1963245,6.4492655,5.0739310,0.056427713,31.87991524,ANGLE 45_aveP1
0,40.523,0.7493069,4.5290427,3.7021420,0.06639922,16.63118505,ANGLE 45_aveP2
0,23.672997,0.6731318,2.9310080,2.2651086,0.021177374,17.4558363,ANGLE 45_aveP3
0,23.096,0.3956499,4.0622770,3.1944726,0.06033672,130.0310841,ANGLE 45_aveP4
0,27.648003,0.2743303,5.8476086,4.2728470,0.05778656,411.3556995,ANGLE 45_aveP5
