,Scale,R2,RMSE,MAE,MAPE,Runtime,VMF
0,34.361,0.9839055,0.9126604,0.7543689,0.008195639,136.9037688,ANGLE 45_aveP1
0,40.523,0.2194376,7.9916987,7.0554450,0.07203013,19.14133859,ANGLE 45_aveP2
0,23.672997,0.8967533,1.6472852,1.2641093,0.011574101,74.94298601,ANGLE 45_aveP3
0,23.096,0.8664294,1.9097680,1.6005011,0.029716024,103.1174483,ANGLE 45_aveP4
0,27.648003,0.9811725,0.9419011,0.7286453,0.010630536,151.7594261,ANGLE 45_aveP5
