P1,P2,P3,P4,P5
32.684004,53.70578,-65.309764,7.08178,50.706276
32.663024,53.77702,-65.284872,7.116924,50.788288
32.612288,53.754572,-65.324892,7.030524,50.724824
32.745476,53.852172,-65.215076,7.148168,50.800984
32.630828,53.790688,-65.265348,7.085196,50.578856
32.578624,53.7414,-65.289264,7.102772,50.731172
32.655712,53.815576,-65.273156,7.153048,50.78194
32.676204,53.762376,-65.293656,7.000256,50.641832
32.646924,53.807768,-65.231672,7.160372,50.779504
32.6401,53.77312,-65.297072,7.119856,50.7175
32.63424,53.736036,-65.29756,7.080316,50.705296
32.638148,53.742864,-65.27218,7.093496,50.56714
32.613264,53.76092,-65.364424,7.100328,50.622304
32.5274,53.696504,-65.34442,7.081292,50.53004
32.590828,53.72188,-65.288288,7.100816,50.65648
32.558624,53.702852,-65.4352,7.020272,50.686744
32.604976,53.71212,-65.283408,7.12864,50.631096
32.582532,53.763356,-65.285848,7.110092,50.706276
32.469348,53.729204,-65.393224,7.032476,50.606196
32.563012,53.733104,-65.331236,7.091052,50.52174
32.52252,53.674548,-65.439104,7.028572,50.655012
32.591796,53.807276,-65.319036,7.134988,50.68968
32.497644,53.71602,-65.363448,7.140844,50.537364
32.43178,53.629652,-65.431784,6.992936,50.660384
32.464464,53.682356,-65.41226,6.960716,50.57544
32.414704,53.66576,-65.454232,7.05298,50.536876
32.44544,53.638916,-65.405428,7.105208,50.581788
32.374212,53.562304,-65.427876,6.956812,50.460228
32.308348,53.615492,-65.463996,6.887984,50.493916
32.317132,53.615008,-65.504016,6.956812,50.500264
32.294688,53.574504,-65.46302,6.960716,50.470484
32.37226,53.59402,-65.479124,6.950468,50.474876
32.358112,53.63404,-65.45716,6.944608,50.538344
32.216632,53.52278,-65.552824,6.888472,50.426544
32.30786,53.562304,-65.548428,6.93338,50.455352
32.403972,53.687232,-65.434712,7.0315,50.56568
32.239564,53.571088,-65.52598,6.890424,50.417272
32.38836,53.665272,-65.4801,6.951444,50.493916
32.288348,53.57694,-65.57674,6.859672,50.409948
32.310304,53.572552,-65.51036,6.919712,50.438256
32.365428,53.629652,-65.48254,6.885052,50.487084
32.285908,53.617444,-65.53818,6.852348,50.50612
32.387872,53.76092,-65.437152,7.006604,50.591064
32.288348,53.57646,-65.5333,6.886516,50.444124
32.304444,53.571088,-65.523052,6.835752,50.495868
32.281032,53.679912,-65.512804,6.848928,50.484156
32.249316,53.596948,-65.522076,6.831844,50.484156
32.290784,53.666736,-65.458628,6.909948,50.566164
32.294688,53.644288,-65.497184,6.881148,50.503192
32.345428,53.698456,-65.463508,6.97048,50.51002
32.29762,53.706756,-65.417628,6.993424,50.552008
32.353236,53.73164,-65.363448,7.044192,50.661852
32.329328,53.641844,-65.451304,6.98366,50.532476
32.299568,53.723344,-65.41226,6.968528,50.502216
32.300544,53.744328,-65.4269,6.97048,50.55982
32.343964,53.629652,-65.439592,7.004652,50.558356
32.329328,53.691136,-65.400548,6.994888,50.565184
32.199068,53.628676,-65.545012,6.8748,50.433868
32.440068,53.770192,-65.391272,7.085684,50.641344
32.321032,53.6521,-65.443008,6.939728,50.5481
32.345916,53.687232,-65.413236,7.014412,50.585692
32.353716,53.726276,-65.411284,7.017344,50.63842
32.3586,53.738472,-65.394688,7.003188,50.616936
32.386896,53.785804,-65.437152,7.045168,50.660876
32.362996,53.722368,-65.383464,6.96316,50.637928
32.347868,53.735548,-65.37956,6.969992,50.606196
32.406896,53.8307,-65.388832,7.030524,50.64232
32.45276,53.774092,-65.287804,7.056396,50.761928
32.419096,53.754572,-65.291704,7.05542,50.71018
32.38202,53.775068,-65.38932,7.01246,50.564208
32.457636,53.749696,-65.37956,7.009044,50.671612
32.454224,53.769212,-65.334652,7.072992,50.707244
32.4591,53.823872,-65.350276,7.044192,50.655012
32.414704,53.85462,-65.358568,7.058836,50.700416
32.40202,53.793616,-65.383952,7.060788,50.649644
32.426408,53.818012,-65.350276,7.062252,50.712624
32.424952,53.879504,-65.328796,7.059812,50.7507
32.49276,53.851196,-65.298048,7.104232,50.726292
32.376648,53.78288,-65.337096,7.056396,50.722388
32.43958,53.942456,-65.280968,7.103744,50.809284
32.449828,53.857552,-65.342952,7.100816,50.747276
32.420556,53.851196,-65.3,7.070552,50.77462
32.42934,53.9,-65.311232,7.051512,50.786336
32.427876,53.853148,-65.333192,7.0686,50.78438
32.49276,53.923908,-65.273156,7.145728,50.821972
32.39568,53.867792,-65.336604,7.081292,50.70432
32.423488,53.932208,-65.267788,7.101308,50.844428
32.412756,53.892192,-65.29854,7.080804,50.848332
32.442024,53.889264,-65.242896,7.146216,50.83076
32.397144,53.929768,-65.263884,7.089592,50.808788
32.406408,53.887312,-65.33514,7.026616,50.716524
32.410804,53.878044,-65.294632,7.032476,50.771204
32.400068,53.892192,-65.235576,7.079336,50.853704
32.44886,53.921472,-65.284872,7.113512,50.834172
32.323476,53.841436,-65.353688,7.002212,50.700908
32.359576,53.848272,-65.339052,7.039796,50.735564
32.35226,53.8756,-65.337096,7.0481,50.776088
32.383972,53.878528,-65.314644,7.016856,50.81026
32.363484,53.869744,-65.328308,7.01002,50.770708
32.345916,53.849248,-65.357108,7.024664,50.782916
32.363972,53.913664,-65.269252,7.078364,50.849312
32.28152,53.88976,-65.33368,6.99196,50.760948
32.270784,53.833632,-65.369312,6.957788,50.758508
32.32152,53.876576,-65.337584,6.982684,50.827824
32.253224,53.77702,-65.451304,6.927524,50.705788
32.338112,53.863404,-65.340516,7.030036,50.807332
32.216144,53.82046,-65.404448,6.94656,50.682836
32.14394,53.729204,-65.44496,6.884076,50.636952
32.167848,53.718952,-65.469852,6.863576,50.662336
32.136132,53.674052,-65.469364,6.859672,50.660384
32.201508,53.764824,-65.451304,6.915808,50.725316
32.154676,53.7414,-65.479612,6.84356,50.543708
32.16638,53.711632,-65.462044,6.863576,50.704808
32.113692,53.70968,-65.51768,6.87578,50.674544
32.160528,53.789228,-65.450328,6.919712,50.591064
32.085396,53.740424,-65.501088,6.798652,50.641344
32.085884,53.704308,-65.509384,6.778636,50.538344
32.078564,53.658436,-65.571856,6.754716,50.5481
32.075152,53.680884,-65.521588,6.756184,50.616448
32.081004,53.6477,-65.5211,6.7801,50.563728
32.04734,53.642824,-65.630428,6.719084,50.536384
32.092224,53.699432,-65.566,6.763504,50.568608
31.998552,53.5989,-65.653368,6.68442,50.455352
32.017584,53.65356,-65.611396,6.76204,50.670636
32.008312,53.642824,-65.628476,6.722496,50.533452
31.99514,53.604756,-65.630428,6.70346,50.49782
31.947332,53.583288,-65.654344,6.694676,50.559332
31.967824,53.584752,-65.640188,6.66978,50.457304
31.85854,53.536928,-65.74122,6.609736,50.449488
31.954164,53.50716,-65.735364,6.610224,50.422148
31.975624,53.568156,-65.691924,6.61364,50.429472
31.85854,53.509596,-65.760744,6.558476,50.479268
31.943916,53.515948,-65.73634,6.624864,50.416296
31.819508,53.496424,-65.802232,6.538952,50.358204
31.8761,53.578896,-65.774896,6.586792,50.503676
31.809752,53.500328,-65.821748,6.512104,50.348924
31.765844,53.498376,-65.789052,6.545784,50.446556
31.861956,53.54718,-65.757324,6.5741,50.473412
31.839508,53.425176,-65.775384,6.525772,50.370404
31.904884,53.546204,-65.730968,6.58484,50.531508
31.759992,53.49398,-65.784172,6.476956,50.431428
31.78048,53.5135,-65.716328,6.59802,50.431428
31.772676,53.536444,-65.786608,6.548716,50.391396
