P1,P2,P3,P4,P5
92.690368,18.162196,-108.127912,56.754816,79.647144
92.698168,18.117784,-108.155736,56.755792,79.662768
92.66598,18.125596,-108.17672,56.754816,79.676928
92.612792,18.111932,-108.16794,56.728456,79.607604
92.679152,18.083144,-108.145972,56.753352,79.642268
92.719152,18.15536,-108.12108,56.772876,79.704756
92.732812,18.154384,-108.143048,56.747492,79.692548
92.631824,18.057276,-108.223576,56.658644,79.548048
92.696716,18.152436,-108.152808,56.710884,79.6325
92.694764,18.105104,-108.155248,56.715276,79.650568
92.670372,18.082164,-108.148412,56.767504,79.59784
92.6855,18.111444,-108.208928,56.670848,79.590516
92.646948,18.051908,-108.2021,56.62838,79.600768
92.809412,18.134868,-108.153784,56.763112,79.6364
92.83136,18.17586,-108.221624,56.806072,79.638848
92.691832,18.069964,-108.18502,56.711364,79.586608
92.67964,18.074356,-108.173796,56.644984,79.584168
92.685976,18.05386,-108.217232,56.657184,79.548528
92.764528,18.143648,-108.08448,56.776288,79.653004
92.734764,18.104616,-108.224556,56.629356,79.598816
92.66012,18.011888,-108.270924,56.598608,79.529492
92.695252,18.135356,-108.214796,56.692824,79.629572
92.640612,18.034828,-108.259692,56.561504,79.44602
92.789892,18.102172,-108.132312,56.689892,79.637376
92.73672,18.088512,-108.217724,56.634236,79.597356
92.672804,18.052884,-108.2719,56.646936,79.494344
92.756728,18.11486,-108.177696,56.715276,79.53242
92.751356,18.09778,-108.241632,56.608856,79.533892
92.829896,18.145604,-108.159636,56.711364,79.62664
92.776232,18.109004,-108.202592,56.65816,79.547552
92.807948,18.105588,-108.217724,56.611296,79.586608
92.797692,18.135844,-108.209908,56.671828,79.600768
92.7938,18.1212,-108.194292,56.686476,79.589056
92.781592,18.11974,-108.244072,56.665968,79.557808
92.751844,18.109004,-108.2841,56.622528,79.50752
92.84746,18.143648,-108.22846,56.69428,79.577824
92.78452,18.095828,-108.2187,56.665484,79.551952
92.796716,18.111932,-108.231392,56.650836,79.525096
92.736232,18.018724,-108.346576,56.550768,79.468476
92.844044,18.117296,-108.236268,56.677196,79.549504
92.843068,18.150484,-108.227968,56.647908,79.511432
92.76404,18.064108,-108.31192,56.564924,79.443572
92.830384,18.171956,-108.234312,56.70014,79.536328
92.773792,18.03678,-108.327044,56.567852,79.415264
92.883068,18.088996,-108.238704,56.648396,79.489464
92.820628,18.125596,-108.2758,56.599584,79.48556
92.8099,18.039708,-108.327044,56.57176,79.430396
92.838196,18.111444,-108.212352,56.651812,79.47726
92.835756,18.115832,-108.319728,56.579564,79.459196
92.815748,18.073868,-108.254328,56.637164,79.48604
92.804528,18.07826,-108.297768,56.595192,79.435272
92.859656,18.05142,-108.354864,56.518544,79.408424
92.873328,18.080212,-108.262132,56.509276,79.468476
92.829896,18.057764,-108.271404,56.543928,79.424536
92.800624,17.988468,-108.30802,56.495604,79.399144
92.816724,18.00994,-108.323632,56.502436,79.383532
92.795264,18.023604,-108.343648,56.464848,79.372304
92.875268,18.02946,-108.283604,56.482916,79.467004
92.9265,18.104616,-108.237244,56.582008,79.456756
92.901124,18.043612,-108.323144,56.502436,79.405988
92.896252,18.016768,-108.255788,56.517084,79.438696
92.87722,18.083144,-108.267992,56.490236,79.413792
92.85332,18.027508,-108.340228,56.461436,79.38206
92.982604,18.128032,-108.234804,56.575176,79.4797
92.886976,18.072404,-108.3002,56.466804,79.386944
92.914784,18.059716,-108.262624,56.483892,79.414288
92.907472,18.053372,-108.299224,56.467772,79.346424
92.90454,17.995296,-108.381708,56.485844,79.333244
92.884044,18.008476,-108.352912,56.416524,79.328852
92.901124,18.022624,-108.277272,56.44972,79.353748
92.945032,18.0197,-108.288488,56.486328,79.3518
92.881616,18.007988,-108.372924,56.406276,79.32348
92.899672,17.99286,-108.353888,56.443376,79.322992
92.848924,17.958212,-108.377808,56.376488,79.292724
92.92406,18.00164,-108.38318,56.4175,79.337152
92.876732,17.932348,-108.46566,56.343792,79.25172
92.933324,17.956748,-108.41978,56.332072,79.28784
92.808436,17.846456,-108.460784,56.270076,79.171168
92.810876,17.837672,-108.46322,56.301324,79.161408
92.857704,17.885988,-108.505684,56.24128,79.161408
92.745496,17.769844,-108.54278,56.138764,79.091108
92.844044,17.88794,-108.473476,56.308156,79.1409
92.767444,17.866468,-108.568648,56.233464,79.094036
92.791356,17.81718,-108.518376,56.212476,79.129676
92.759156,17.819616,-108.547656,56.196852,79.03448
92.757692,17.820104,-108.625264,56.105568,79.026176
92.79038,17.810832,-108.505196,56.113384,79.077928
92.824048,17.772284,-108.55254,56.192464,79.113072
92.745008,17.751788,-108.658448,56.127044,79.032032
92.75282,17.771308,-108.554492,56.051384,79.050584
92.7494,17.764964,-108.633556,56.113868,79.056932
92.696716,17.747392,-108.603784,56.114356,78.97882
92.752332,17.7635,-108.592072,56.08214,79.008116
92.769896,17.752276,-108.593048,56.055292,79.04424
92.80404,17.82108,-108.532044,56.117772,79.027156
92.772816,17.787412,-108.62672,56.07384,79.001276
92.76062,17.72934,-108.521788,56.084096,78.9881
92.83722,17.798148,-108.540332,56.173424,79.019348
92.761596,17.755692,-108.613548,56.074328,78.970036
92.751844,17.714208,-108.595972,56.027956,78.983216
92.792824,17.762036,-108.529112,56.09336,79.048152
92.851856,17.762524,-108.53448,56.074816,78.989076
92.800148,17.7635,-108.513488,56.08946,79.033984
92.760132,17.771796,-108.551564,56.058708,79.0047
92.8338,17.806444,-108.534968,56.089948,78.99884
92.923572,17.855244,-108.497388,56.132912,79.047656
92.906984,17.824008,-108.511052,56.12802,79.055468
92.826976,17.804488,-108.459808,56.156336,78.977844
92.851856,17.826936,-108.467128,56.064564,78.998352
92.914296,17.854268,-108.486164,56.05578,79.059864
