P1,P2,P3,P4,P5
51.617052,-18.835628,-149.115796,14.655968,48.300024
51.58778,-18.862956,-149.181188,14.652552,48.18042
51.65608,-18.737052,-149.10896,14.769708,48.48456
51.593636,-18.794148,-149.135316,14.720408,48.331756
51.609736,-18.8327,-149.174364,14.720408,48.223872
51.639984,-18.763404,-149.13434,14.680864,48.453804
51.610224,-18.823428,-149.127992,14.573472,48.288792
51.659984,-18.756084,-149.11482,14.744816,48.272688
51.6995,-18.74486,-149.081616,14.856596,48.41524
51.756096,-18.72534,-149.033312,14.772148,48.36056
51.704864,-18.717044,-149.10652,14.712596,48.37472
51.746828,-18.68386,-149.03722,14.796556,48.461616
51.670228,-18.7717,-149.122632,14.803392,48.286848
51.694624,-18.756084,-149.068444,14.80974,48.416216
51.639496,-18.81074,-149.122144,14.538324,48.289288
51.730724,-18.755108,-149.082116,14.802904,48.33322
51.827324,-18.64482,-148.965956,14.880032,48.40352
51.698524,-18.771212,-149.111888,14.603252,48.383012
51.910748,-18.633108,-149.005004,14.886376,48.477728
51.671204,-18.772188,-149.126036,14.703804,48.202876
51.820488,-18.724364,-149.038672,14.798512,48.468452
51.820488,-18.669708,-149.032824,14.903464,48.412312
51.747316,-18.772676,-149.054296,14.71064,48.287816
51.8122,-18.69362,-149.061608,14.80974,48.425
51.722436,-18.79854,-149.10896,14.710152,48.314672
51.826348,-18.715092,-148.980116,14.787772,48.389856
51.877088,-18.60578,-148.990356,14.913716,48.419148
51.847816,-18.65214,-148.995728,14.84098,48.407916
51.784876,-18.715092,-148.993288,14.804856,48.399128
51.77268,-18.748764,-149.117736,14.821944,48.279036
51.752672,-18.751204,-149.120192,14.687212,48.23852
51.845372,-18.680444,-148.983532,14.839516,48.39864
51.784876,-18.691668,-149.089916,14.90932,48.342988
51.834636,-18.701916,-149.035268,14.793628,48.338104
51.83366,-18.683372,-149.018664,14.772636,48.305396
51.802928,-18.670684,-149.078212,14.814616,48.398152
51.759508,-18.734124,-149.054296,14.873688,48.383012
51.827324,-18.755108,-149.075768,14.776056,48.31028
51.817564,-18.721924,-149.087976,14.781424,48.350312
51.831712,-18.583332,-148.993288,14.969364,48.346892
51.866352,-18.63994,-149.000108,14.890284,48.446972
51.871724,-18.663364,-149.046972,14.811204,48.452336
51.825856,-18.679956,-149.087976,14.821944,48.314672
51.786828,-18.712164,-149.10554,14.881984,48.254628
52.001488,-18.5521,-148.910316,15.024036,48.529472
51.897576,-18.633596,-148.979628,14.901512,48.442084
51.914656,-18.61798,-148.993776,14.947396,48.451848
51.996124,-18.636036,-148.957164,14.9391,48.421092
51.95612,-18.669708,-148.993288,14.91176,48.389856
52.035644,-18.550636,-148.926904,14.976684,48.50946
51.996612,-18.572596,-148.92544,14.962528,48.49774
52.036128,-18.511108,-148.87224,15.00158,48.572924
52.033692,-18.530628,-148.90056,14.942516,48.43086
52.083452,-18.529652,-148.882008,15.011344,48.462104
52.078088,-18.540388,-148.860536,14.921036,48.63004
52.043452,-18.572108,-148.948388,14.855136,48.40352
52.001976,-18.604316,-148.963024,14.867828,48.37472
52.06784,-18.490612,-148.821972,14.9967,48.51922
52.061012,-18.460356,-148.873708,15.083104,48.562672
52.008812,-18.5643,-148.873708,14.907856,48.440624
52.064424,-18.580404,-148.921532,14.828776,48.323456
51.922944,-18.689716,-149.062596,14.816572,48.361052
52.004908,-18.582356,-148.904468,14.929336,48.354704
51.972216,-18.59114,-149.014272,14.853672,48.32248
52.00686,-18.55454,-148.974244,14.928848,48.426952
51.962464,-18.617492,-148.963024,14.7619,48.257556
51.995644,-18.653116,-148.993776,14.827312,48.283916
52.007344,-18.578452,-148.956676,14.91762,48.37716
51.99076,-18.617492,-148.994264,14.736516,48.416216
52.02198,-18.618468,-148.898608,14.706248,48.326392
52.017104,-18.611148,-149.054784,14.81218,48.313696
52.00686,-18.59602,-148.924476,14.792652,48.393764
51.939044,-18.668244,-148.97278,14.704292,48.346404
51.995148,-18.583332,-149.063564,14.800464,48.357148
51.99222,-18.6619,-148.931788,14.750672,48.393268
52.107844,-18.5521,-148.828808,14.819984,48.384968
52.026856,-18.542828,-148.941064,14.782892,48.381556
52.015156,-18.564788,-148.919092,14.863924,48.3425
52.043452,-18.533556,-148.87274,14.846348,48.290748
52.026372,-18.571132,-148.991332,14.716988,48.39034
52.005388,-18.51306,-148.87274,14.83024,48.337624
52.020032,-18.504764,-148.867848,14.760432,48.379112
52.038568,-18.536972,-148.887364,14.733588,48.319068
52.047344,-18.517452,-148.906896,14.82536,48.371788
52.061492,-18.50574,-148.864928,14.689652,48.433788
52.012224,-18.568204,-148.869312,14.722844,48.224848
52.092236,-18.50574,-148.894704,14.861972,48.355188
52.054668,-18.563812,-148.846876,14.75604,48.422564
52.135652,-18.547708,-148.867848,14.709664,48.38692
52.149316,-18.450108,-148.85028,14.792164,48.422072
52.139556,-18.516476,-148.88054,14.788748,48.393764
52.196632,-18.401796,-148.842968,14.89858,48.555836
52.090772,-18.474508,-148.857592,14.720408,48.463564
52.12638,-18.491588,-148.821472,14.680864,48.414264
52.19176,-18.441324,-148.858092,14.889796,48.472356
52.224932,-18.45938,-148.809288,14.860016,48.436232
52.19956,-18.414484,-148.838576,14.739444,48.411824
52.158092,-18.471092,-148.878588,14.693556,48.396684
52.196632,-18.441812,-148.832716,14.715032,48.490416
52.191272,-18.390084,-148.823924,14.74628,48.457708
52.174684,-18.445228,-148.813196,14.80778,48.477728
52.218096,-18.427172,-148.795604,14.699416,48.452824
52.212732,-18.439372,-148.756568,14.743836,48.482612
52.231276,-18.424244,-148.790248,14.841956,48.510436
52.330312,-18.272476,-148.690196,15.006952,48.513848
52.284936,-18.350556,-148.710692,14.847324,48.510436
52.376656,-18.36666,-148.687268,14.667196,48.542652
52.280548,-18.320788,-148.713136,14.744328,48.484068
52.18932,-18.424732,-148.738036,14.884912,48.466496
52.320068,-18.338356,-148.684816,14.91762,48.487488
52.351292,-18.327132,-148.746312,14.757508,48.3713
52.313728,-18.32518,-148.665296,14.839024,48.412312
52.403492,-18.253932,-148.608692,14.911272,48.656404
52.421052,-18.25442,-148.668712,14.861484,48.660304
52.3269,-18.303708,-148.676036,14.830728,48.44502
52.434716,-18.235388,-148.581348,14.873196,48.518732
52.361048,-18.234412,-148.678492,14.905416,48.614416
52.444472,-18.219284,-148.575976,14.838536,48.61344
52.552776,-18.149988,-148.486168,14.96546,48.532892
52.443012,-18.194884,-148.635524,14.844884,48.719372
52.403972,-18.2105,-148.577928,14.731148,48.684712
52.276648,-18.294436,-148.662856,14.648156,48.400592
52.392272,-18.245148,-148.645776,14.750672,48.589516
52.54936,-18.168044,-148.53938,14.968876,48.652
52.49862,-18.18122,-148.52572,14.866364,48.574384
52.513744,-18.118268,-148.522292,14.902,48.7843
52.37276,-18.224164,-148.657496,14.783864,48.555348
52.589368,-18.086548,-148.469092,14.894188,48.648592
52.593272,-18.09826,-148.486168,15.02794,48.834588
52.522528,-18.146572,-148.468128,15.041608,48.771124
52.600096,-18.048484,-148.435912,15.064552,48.70766
52.621564,-18.101676,-148.44518,14.874176,48.69936
52.69182,-17.977724,-148.349512,14.879544,48.816032
52.629372,-18.09826,-148.52278,14.984984,48.722792
52.536188,-18.18854,-148.546704,14.958624,48.626128
52.526916,-18.145596,-148.51498,14.813644,48.622716
52.671324,-17.986996,-148.38368,14.953256,48.843864
52.5718,-18.087524,-148.454444,14.980104,48.704732
52.627416,-18.124124,-148.471044,14.93568,48.68764
52.658644,-18.092892,-148.457384,14.762876,48.745252
52.544972,-18.160724,-148.520836,14.871244,48.65152
52.684496,-18.04946,-148.415892,15.141192,48.812132
52.77622,-18.027988,-148.388576,15.063576,48.783812
52.712312,-18.043604,-148.340248,14.986936,48.718396
52.69572,-18.040188,-148.334876,15.021108,48.794068
52.698164,-18.091916,-148.39442,14.979616,48.745252
52.695232,-18.084108,-148.372948,14.99182,48.767708
52.687916,-18.099236,-148.394896,15.006952,48.721812
52.770368,-18.028964,-148.382716,15.073828,48.707172
52.723528,-18.041164,-148.391004,15.071876,48.682276
52.647424,-18.16902,-148.468604,14.890772,48.669092
52.658156,-18.118268,-148.452492,14.860996,48.706684
52.646448,-18.111436,-148.4364,15.12118,48.607588
52.591804,-18.187564,-148.479832,14.981568,48.647608
52.644496,-18.12998,-148.554016,14.872708,48.645656
52.58156,-18.236364,-148.5218,14.926408,48.49286
52.52448,-18.243684,-148.466176,14.895652,48.570484
52.518628,-18.262716,-148.664332,14.738468,48.520196
52.36056,-18.323716,-148.680444,14.6589,48.566084
52.48496,-18.324692,-148.592088,14.786796,48.430372
52.458136,-18.344212,-148.664808,14.722844,48.397176
52.455688,-18.282724,-148.534496,14.721384,48.579756
52.502528,-18.273452,-148.723876,14.740904,48.438176
52.403492,-18.409116,-148.746812,14.704292,48.449408
52.389824,-18.346164,-148.532544,14.745792,48.380092
52.405928,-18.34714,-148.793176,14.688188,48.434764
52.398128,-18.405212,-148.69458,14.631072,48.363488
52.511308,-18.318348,-148.590624,14.744816,48.385944
52.503992,-18.27638,-148.632116,14.71162,48.547536
52.472284,-18.291508,-148.610644,14.712596,48.487488
52.418128,-18.39594,-148.66676,14.71552,48.440132
52.32348,-18.46426,-148.672144,14.635952,48.409868
52.525456,-18.28126,-148.571584,14.78582,48.529964
52.504968,-18.3081,-148.596484,14.708692,48.437696
52.595228,-18.29102,-148.543288,14.796556,48.498228
52.49814,-18.347628,-148.663344,14.740904,48.422564
52.430812,-18.393012,-148.66676,14.590556,48.353236
52.491304,-18.348604,-148.672144,14.667196,48.452824
52.513744,-18.374468,-148.561352,14.727724,48.4416
52.597664,-18.251004,-148.499852,14.7702,48.572432
52.541064,-18.277844,-148.673108,14.731148,48.506044
52.460088,-18.399844,-148.603796,14.644252,48.419148
52.42544,-18.402284,-148.600392,14.622776,48.397176
52.529848,-18.31054,-148.665796,14.726264,48.4167
52.651812,-18.243196,-148.483252,14.846348,48.491396
52.64352,-18.297364,-148.57892,14.747252,48.528496
52.605468,-18.246612,-148.502284,14.7331,48.580244
52.619616,-18.26906,-148.47544,14.773616,48.518244
52.68206,-18.23978,-148.541332,14.820476,48.566576
52.616692,-18.268084,-148.437868,14.753108,48.553392
52.6523,-18.216356,-148.50326,14.787772,48.641264
52.672792,-18.197812,-148.508632,14.80388,48.576336
52.6484,-18.310052,-148.466176,14.751648,48.546556
52.667912,-18.221724,-148.555004,14.785332,48.610512
52.510816,-18.295412,-148.549144,14.663292,48.503596
52.57668,-18.347628,-148.567676,14.678908,48.523128
52.553264,-18.351044,-148.621376,14.668172,48.464056
52.55912,-18.375932,-148.515468,14.6589,48.482612
52.637176,-18.356412,-148.605748,14.62326,48.524104
52.551312,-18.434492,-148.662376,14.638884,48.434276
52.527412,-18.463284,-148.589172,14.599828,48.441108
52.589368,-18.424244,-148.642848,14.598852,48.424516
52.493256,-18.490612,-148.677016,14.546132,48.330296
52.460572,-18.577964,-148.687756,14.408968,48.301
52.510816,-18.485732,-148.661388,14.579332,48.4333
52.399584,-18.6009,-148.787328,14.498296,48.234608
52.48838,-18.538436,-148.66676,14.466564,48.32248
52.278596,-18.672636,-148.848816,14.365516,48.152104
52.30982,-18.669708,-148.841492,14.402616,48.034456
52.352264,-18.641404,-148.858092,14.30108,48.273664
52.184436,-18.807812,-149.054784,14.247872,48.143812
52.277624,-18.719972,-148.809288,14.343064,48.052032
52.128828,-18.829284,-148.990356,14.157072,47.999304
52.226884,-18.778044,-148.98108,14.296688,48.081316
52.204924,-18.818548,-149.124084,14.192224,47.98174
52.255664,-18.814156,-149.015248,14.152196,47.9583
52.19566,-18.812204,-148.80586,14.16098,48.015416
52.157604,-18.89126,-149.23098,14.131204,47.96416
52.162488,-18.909804,-149.01476,14.072624,47.927056
52.048816,-19.000084,-149.086024,14.017464,47.92364
52.09906,-18.89858,-149.202184,14.14878,47.910948
52.10882,-18.939572,-148.979628,14.057496,47.838692
52.177116,-18.942988,-149.032824,14.168304,48.00858
52.07516,-18.969828,-149.225612,14.072624,47.918272
52.09174,-18.983004,-149.106032,13.977436,47.879216
52.194684,-18.911268,-149.00696,14.0653,47.970012
52.039544,-18.996668,-149.217308,13.97304,47.858708
52.072716,-18.997644,-149.174364,13.979384,47.883116
52.037104,-19.073284,-149.143616,13.924712,47.799152
52.109308,-19.042052,-149.192432,14.035524,47.841624
52.171264,-19.009844,-149.128492,14.071164,47.932912
52.069792,-19.053276,-149.12506,13.968648,47.825512
52.068328,-19.058644,-149.24464,14.003304,47.868468
52.157604,-19.036684,-149.129456,14.101912,47.874336
52.202008,-18.933228,-149.025976,14.082388,47.96172
52.180536,-18.87906,-148.979628,14.09264,48.044228
52.21712,-18.926396,-149.112376,14.073604,47.994916
52.21712,-18.97422,-149.05918,14.056516,47.881164
52.254688,-18.879548,-149.021608,14.21712,47.97392
52.267376,-18.9669,-149.102612,14.093616,48.071556
52.329332,-18.890284,-148.936656,14.035036,48.072044
52.388848,-18.787316,-148.895668,14.210284,48.125256
52.434716,-18.81318,-148.967908,14.271792,48.198
52.493752,-18.80586,-148.820996,14.176112,48.228752
52.353728,-18.862956,-148.915184,14.2591,48.141856
52.460572,-18.702404,-148.826368,14.3621,48.173096
52.522528,-18.701916,-148.727284,14.208332,48.24438
52.515216,-18.701916,-148.854676,14.280092,48.259996
52.5357,-18.73266,-148.77268,14.429952,48.230708
52.570344,-18.725828,-148.757056,14.31768,48.252184
52.533752,-18.679956,-148.88982,14.18246,48.239496
52.58156,-18.74486,-148.711668,14.410916,48.276112
52.580584,-18.802444,-148.752172,14.418236,48.249256
52.507404,-18.763892,-148.857116,14.215168,48.214104
52.556684,-18.607244,-148.76388,14.284484,48.242424
52.47472,-18.792684,-148.859544,14.257148,48.169188
52.631324,-18.722412,-148.733632,14.427512,48.351776
52.529848,-18.787804,-148.814648,14.242992,48.161384
52.483504,-18.773164,-148.796104,14.217608,48.213616
52.515216,-18.79854,-148.8,14.300592,48.198
52.522528,-18.853196,-148.843932,14.192712,48.13502
52.565956,-18.724364,-148.757056,14.204916,48.275136
52.430324,-18.922492,-148.985976,14.1356,47.9998
52.527412,-18.854172,-148.813672,14.311332,48.108656
52.554732,-18.77902,-148.80294,14.286436,48.247792
52.462524,-18.876132,-148.87566,14.122908,48.1067
52.463984,-18.8571,-148.751696,14.14292,48.167244
52.480572,-18.819036,-148.88152,14.140968,48.175536
52.62498,-18.74242,-148.726308,14.281068,48.183836
52.616692,-18.791708,-148.705324,14.339644,48.296612
52.571312,-18.84002,-148.850768,14.341108,48.25804
