P1,P2,P3,P4,P5
154.4589,161.271032,30.872332,91.851588,118.579628
154.41548,161.285192,30.782524,91.793004,118.52544
154.587208,161.44038,31.000696,91.92384,118.667504
154.526708,161.232484,30.83426,91.84524,118.614296
154.5755,161.356932,30.82938,92.020484,118.64846
154.484276,161.26664,30.825476,91.913588,118.582556
154.45548,161.279832,30.78448,91.994616,118.653344
154.346692,161.239808,30.696136,91.932616,118.580116
154.226184,161.01338,30.590712,91.746632,118.461
154.201796,161.036792,30.511644,91.784704,118.442932
154.176916,160.978724,30.485776,91.748584,118.369716
154.161792,160.954332,30.48724,91.772508,118.39706
153.91444,160.802064,30.197816,91.53136,118.139296
153.986156,160.816224,30.247108,91.590416,118.19446
153.869556,160.749364,30.165112,91.520616,118.178344
153.809068,160.665428,30.126552,91.492796,118.044092
153.77882,160.580028,30.04554,91.473268,118.074364
153.539272,160.44778,29.780024,91.28484,117.798536
153.609532,160.507324,29.830296,91.324864,117.86786
153.483168,160.400928,29.81126,91.320472,117.895692
153.602208,160.556604,29.922052,91.48596,117.962072
153.521716,160.475108,29.782464,91.295092,117.885924
153.338268,160.239892,29.602364,91.16378,117.696032
153.428528,160.368724,29.691196,91.305836,117.823924
153.408532,160.349208,29.642876,91.265796,117.78242
153.439748,160.294056,29.689244,91.327796,117.816612
153.590992,160.401916,29.791248,91.45326,117.96256
153.500244,160.416052,29.7278,91.417128,117.961108
153.546104,160.497072,29.734632,91.510364,117.971364
153.472936,160.443872,29.697052,91.407848,117.940112
153.2407,160.197936,29.4618,91.267748,117.761452
153.245092,160.207204,29.46082,91.286792,117.714564
153.055312,160.035912,29.250464,91.053456,117.5276
152.990916,159.938304,29.197264,91.090552,117.438744
152.914808,159.891956,29.08452,90.944104,117.417272
152.676732,159.732372,28.896612,90.775208,117.303516
152.71576,159.667468,28.904912,90.828416,117.2713
152.691856,159.717248,28.826816,90.792784,117.31134
152.67722,159.661608,28.783868,90.737624,117.230296
152.714796,159.678688,28.83902,90.818164,117.281556
152.66112,159.671864,28.78972,90.79962,117.33916
152.639172,159.586952,28.786796,90.778624,117.242492
152.714296,159.680164,28.802412,90.8333,117.304992
152.550368,159.55034,28.642324,90.732252,117.225904
