P1,P2,P3,P4,P5
60.929408,10.693824,-104.847576,-1.172408,60.339564
60.935756,10.574748,-104.826592,-1.165576,60.36056
60.889404,10.540104,-104.830492,-1.210972,60.341512
60.844032,10.662104,-104.905656,-1.260276,60.285368
60.822084,10.480568,-104.915416,-1.284196,60.25804
60.774272,10.436644,-104.955444,-1.309092,60.186272
60.852332,10.521068,-104.971056,-1.314948,60.20238
60.752312,10.427864,-104.994488,-1.345212,60.183836
60.708892,10.391748,-105.07404,-1.378896,60.098888
60.680116,10.402484,-105.143348,-1.45798,60.0364
60.623036,10.310252,-105.161896,-1.456512,59.970496
60.675232,10.317084,-105.149208,-1.429664,59.964148
60.583032,10.29464,-105.171656,-1.474576,59.977324
60.568388,10.25462,-105.23706,-1.525344,59.894832
60.572784,10.218996,-105.278056,-1.518508,59.893364
60.450328,10.15312,-105.362492,-1.52632,59.854308
60.431792,10.15458,-105.37616,-1.601008,59.790356
60.450328,10.143844,-105.369328,-1.68204,59.794752
60.433252,10.107732,-105.426428,-1.642012,59.799144
60.386908,10.082844,-105.411792,-1.554632,59.763996
60.450816,10.10578,-105.391292,-1.594172,59.830388
60.38008,10.04722,-105.477672,-1.69766,59.78108
60.424956,10.095532,-105.363472,-1.586364,59.776204
60.476192,10.138964,-105.412768,-1.527296,59.780596
60.47082,10.06918,-105.448396,-1.579528,59.76302
60.432768,10.117492,-105.3581,-1.547308,59.78792
60.330316,10.00574,-105.546992,-1.675692,59.6976
60.47716,10.035996,-105.486952,-1.622972,59.727388
60.366412,9.97646,-105.495732,-1.686432,59.685884
60.364952,9.957916,-105.49964,-1.613212,59.692232
60.459112,9.989148,-105.468408,-1.55756,59.740068
60.2625,9.863244,-105.600672,-1.696196,59.5614
60.326408,9.915948,-105.55138,-1.62932,59.6029
60.369344,9.957428,-105.542108,-1.560492,59.691252
60.37422,9.966212,-105.552844,-1.605888,59.682472
60.328364,9.989636,-105.560652,-1.693756,59.666364
60.352272,10.000372,-105.559676,-1.585384,59.661968
60.4313,10.028676,-105.564064,-1.538036,59.685884
60.287384,9.957428,-105.575788,-1.682528,59.631212
60.418616,10.011108,-105.556256,-1.603448,59.634632
60.34934,9.963284,-105.56504,-1.620532,59.562376
60.435204,10.053564,-105.468892,-1.509236,59.719572
60.433748,10.066252,-105.526484,-1.47604,59.698576
60.438136,10.08382,-105.540156,-1.410136,59.666844
60.37422,10.043804,-105.482072,-1.503864,59.651716
60.393732,10.021844,-105.500616,-1.582456,59.627308
60.577172,10.16922,-105.452788,-1.354976,59.79768
60.511804,10.0765,-105.451812,-1.322272,59.737144
60.544488,10.136528,-105.4318,-1.337404,59.734704
60.576196,10.1863,-105.47036,-1.407208,59.767412
60.505944,10.107732,-105.5094,-1.370108,59.658064
60.680604,10.184836,-105.401056,-1.184124,59.799144
60.595708,10.160436,-105.487444,-1.35156,59.767412
60.653284,10.265844,-105.358592,-1.194864,59.82502
60.743536,10.238028,-105.350776,-1.226592,59.699556
60.688404,10.208748,-105.362004,-1.262228,59.800612
