P1,P2,P3,P4,P5,Predict-P1,Predict-P2,Predict-P3,Predict-P4,Predict-P5
134.83458872,645.8445548,740.09707416,346.49293936000004,159.30918136,169.42105,665.74054,740.36115,338.05902,154.69742
134.88538592,646.0067715199999,740.04374192,346.39595128,159.12420792,169.25648,665.73535,740.29236,338.0504,154.50905
134.92358592,646.17942672,740.0907469599999,346.30874872,158.93486199999998,169.1138,665.7261,740.1906,338.07516,154.26213
134.95003728,646.34979112,740.1354489600001,346.25579448,158.73207192,168.98982,665.761,740.3376,338.09332,154.19264
135.000736,646.54331064,740.1638408800001,346.21178112,158.51867912,168.89157,665.8187,740.6654,338.15012,154.26938
135.08267856,646.7264364,740.0930272,346.1638932,158.32325776,168.68365,665.85925,740.34644,338.02176,154.17612
135.1254928,646.8629404,740.0108408,346.12765368,158.16964696,168.53242,665.86475,740.1124,338.02646,153.90541
135.18299263999998,647.0428222400001,739.9420656799999,346.1054464,157.98356104,168.57248,665.9023,740.8663,338.3306,153.92146
135.253148,647.19802752,739.9199853599999,346.04326247999995,157.82074448,168.3635,665.93463,740.4371,338.20145,153.88828
135.31492056,647.32406456,739.96125168,346.01318256,157.65527975999998,168.2016,665.93805,740.0815,338.12238,153.69559
135.35753008,647.44461336,739.9431912800001,346.00795808000004,157.47661464,168.16125,665.92706,740.37115,338.2884,153.48918
135.37721264,647.5810245600001,739.88211824,345.98529840000003,157.31752712,168.10373,665.9339,740.6602,338.41437,153.46555
135.42407568000002,647.6982412,739.80480376,345.95145272,157.15634848,167.93182,665.97046,740.5764,338.33737,153.66948
135.51310992,647.81354192,739.6495351200001,345.9432404,156.99138136,167.84001,665.9764,740.6607,338.38254,153.68275
135.61024424,647.92127152,739.48568856,345.88967664000006,156.850024,167.78618,665.9457,740.5343,338.47357,153.38362
135.67219288,648.04778496,739.23520512,345.83032792,156.70034808,167.66924,665.8885,740.1274,338.46136,153.04813
135.71240376,648.09983704,738.92011232,345.77252152,156.5564896,167.43616,665.87634,739.4424,338.2484,153.04391
135.78882256,648.19430072,738.68537808,345.7185124,156.42920232,167.50372,665.8619,740.0071,338.52396,153.1755
135.82411496,648.26719024,738.4316590399999,345.718142,156.31868744,167.39062,665.83417,739.6811,338.4814,153.10474
135.90974672000002,648.34977256,738.2493739199999,345.7023524,156.22585392,167.29977,665.8072,739.6753,338.53928,153.19193
135.97286504,648.43252632,738.1637312799999,345.6771056,156.10769448,167.22417,665.7585,739.42346,338.57587,153.00018
136.01539584,648.52455872,738.13353608,345.65789128000006,156.01885632,167.09996,665.7179,739.13226,338.53693,152.87943
136.05863024,648.56090816,738.14338872,345.65503343999995,155.91239224,166.91359,665.6923,738.75214,338.41702,152.83456
136.0490484,648.62768464,738.1267677599999,345.61562712,155.79251576,166.92563,665.63074,739.1628,338.64807,152.68639
136.03215936,648.6639288,738.12694824,345.63366016,155.67663056,166.75139,665.6108,739.1162,338.59216,152.79161
136.03457928,648.714,738.21085768,345.62747136,155.5630008,166.67125,665.57324,739.5052,338.74048,152.8618
136.00550224,648.78405672,738.21909296,345.648328,155.4419812,166.57062,665.52985,739.7165,338.8292,152.7895
136.01373752,648.8424004,738.2844844000001,345.65386176,155.33839824,166.36446,665.5026,739.5958,338.78732,152.81355
136.01569,648.8966084,738.37639784,345.65203656,155.21790464,166.23203,665.442,739.5242,338.84045,152.5583
135.96795744000002,648.94924912,738.4548992000001,345.64569967999995,155.09350768000002,166.04372,665.36316,739.29126,338.82376,152.25433
135.87677384,648.94995816,738.5478492799999,345.61134128,154.95926656,165.79294,665.32886,739.15076,338.70343,152.33719
135.82489655999998,648.97207704,738.59659752,345.55127088,154.85884912,165.74013,665.3139,740.0576,338.89053,152.6381
135.80901047999998,648.98622184,738.6209327199999,345.53878592,154.63914696,165.59969,665.24084,740.3176,338.981,152.5045
135.7507596,649.05065904,738.668046,345.48803568000005,154.4307004,165.5026,665.11285,740.4282,339.15884,151.96346
135.66740224,649.1297976000001,738.6418017599999,345.46844824,154.24634616,165.1984,665.0611,739.91797,338.94608,151.75636
135.60057488,649.1672832,738.77504368,345.41085096,154.04033392,164.85098,665.0492,739.48584,338.66916,151.8907
135.60107144,649.20152552,739.0824827199999,345.33828752,153.86462728,164.8049,665.0431,740.3768,338.83936,152.01128
135.641692,649.28151384,739.27625792,345.27324744,153.69311879999998,164.80545,665.0025,741.1303,338.9976,151.82523
135.70800232,649.32398424,739.60644728,345.21650472,153.53515248,164.57526,664.94714,740.621,338.74615,151.54933
135.7952612,649.3923438400001,739.93904176,345.13851008,153.36405648,164.5614,664.8965,741.0742,338.7946,151.33853
135.8877804,649.46779752,740.17938288,345.10217024,153.22457208,164.5613,664.8814,741.57135,338.81677,151.23395
135.98561656,649.58224008,740.4784716,345.09034864,153.09790008,164.57094,664.87805,742.0812,338.8618,151.25148
136.11018776,649.68685168,740.8628194400001,345.0757804,152.9430868,164.49747,664.90204,742.19977,338.76392,151.25018
136.23082768,649.82087112,741.2352776,345.06280672,152.82362784,164.5127,664.8957,742.5479,338.81155,150.99141
136.316576,649.9308389600001,741.5864356,345.070302,152.70430704,164.43208,664.89935,742.46204,338.71298,150.70667
136.3420608,650.0498944,741.8976240799999,345.07115080000005,152.581296,164.4601,664.9403,742.9901,338.77466,150.72083
136.43080392,650.18489056,742.02072728,345.027454,152.47895352,164.4298,665.0239,743.5615,338.78787,151.04378
136.5225224,650.31358504,742.11212192,344.99991071999995,152.39280872,164.39954,665.049,743.6434,338.7993,150.85643
136.58332096,650.49409456,742.14417568,344.95724543999995,152.27500071999998,164.48985,665.06793,744.142,339.04333,150.4834
136.62620368,650.711738,742.08253144,344.93164728000005,152.17458328,164.41017,665.1467,744.04285,338.98502,150.39432
136.68456136,650.90502448,742.0216680000001,344.8859784,152.07539416,164.20163,665.278,743.46246,338.69882,150.55914
136.78830048,651.08041024,742.00392896,344.876206,151.98563592,164.15997,665.39984,743.5209,338.66998,150.6493
136.91325208,651.23547952,741.89574712,344.83615472,151.87779584,164.25197,665.4992,743.81555,338.8238,150.49301
